Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.517973	0.538423	0.492403	0.530497	0.507429	0.514859	0.516931	0.516416	0.516931	
10.000000	0.522144	0.538463	0.526177	0.549473	0.611653	0.510483	0.543065	0.532320	0.543065	
20.000000	0.529190	0.530330	0.545761	0.582062	0.641659	0.514996	0.557333	0.538046	0.557333	
30.000000	0.553767	0.542790	0.557281	0.581921	0.607444	0.532184	0.562565	0.555524	0.562565	
40.000000	0.583709	0.557859	0.572170	0.580965	0.677327	0.535288	0.584553	0.576567	0.584553	
50.000000	0.613456	0.537434	0.586246	0.604070	0.706541	0.555544	0.600548	0.595158	0.600548	
60.000000	0.609347	0.547680	0.588418	0.619284	0.710687	0.574566	0.608330	0.598883	0.608330	
70.000000	0.624903	0.547649	0.595051	0.614740	0.729200	0.574785	0.614388	0.604896	0.614388	
80.000000	0.652732	0.541166	0.592792	0.611241	0.741102	0.579345	0.619730	0.602017	0.619730	
90.000000	0.643572	0.539132	0.601663	0.618990	0.746373	0.589153	0.623147	0.610327	0.623147	
100.000000	0.657949	0.554065	0.599107	0.624287	0.742234	0.594896	0.628757	0.611697	0.628757	
110.000000	0.653897	0.557632	0.607261	0.622654	0.760056	0.590185	0.631948	0.614957	0.631948	
120.000000	0.651878	0.559923	0.610205	0.631764	0.753488	0.601334	0.634765	0.620985	0.634765	
130.000000	0.663092	0.566339	0.614703	0.637590	0.759829	0.602260	0.640635	0.626147	0.640635	
140.000000	0.657263	0.560493	0.620665	0.630792	0.753218	0.603115	0.637591	0.625728	0.640635	
150.000000	0.656851	0.572122	0.617037	0.640748	0.766818	0.592906	0.641080	0.628892	0.641080	
160.000000	0.649847	0.575705	0.613815	0.644282	0.766076	0.596074	0.640966	0.629049	0.641080	
170.000000	0.662268	0.583342	0.615012	0.638416	0.766158	0.610496	0.645949	0.626714	0.645949	
180.000000	0.669212	0.580974	0.617931	0.642038	0.761320	0.614317	0.647632	0.629985	0.647632	
190.000000	0.659413	0.598597	0.614764	0.642684	0.751148	0.604117	0.645120	0.628724	0.647632	
200.000000	0.660945	0.583180	0.611277	0.642216	0.752368	0.602747	0.642122	0.626747	0.647632	
