Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.558078	0.498359	0.541799	0.532745	0.541799	0.532745	
10.000000	0.527759	0.660449	0.717836	0.635348	0.660449	0.635348	
20.000000	0.647642	0.701753	0.775413	0.708269	0.701753	0.708269	
30.000000	0.655323	0.710934	0.781744	0.716000	0.710934	0.716000	
40.000000	0.660395	0.721217	0.789752	0.723788	0.721217	0.723788	
50.000000	0.689314	0.748041	0.804404	0.747253	0.748041	0.747253	
60.000000	0.674871	0.758923	0.804744	0.746179	0.758923	0.747253	
70.000000	0.702086	0.781540	0.815291	0.766305	0.781540	0.766305	
80.000000	0.701942	0.801663	0.815928	0.773178	0.801663	0.773178	
90.000000	0.727745	0.807671	0.821111	0.785509	0.807671	0.785509	
100.000000	0.722217	0.826873	0.829335	0.792808	0.826873	0.792808	
110.000000	0.727412	0.818391	0.828187	0.791330	0.818391	0.792808	
120.000000	0.733460	0.824625	0.828910	0.795665	0.824625	0.795665	
130.000000	0.729153	0.825617	0.827167	0.793979	0.825617	0.795665	
140.000000	0.735920	0.827971	0.824363	0.796085	0.824363	0.796085	
150.000000	0.738205	0.832045	0.822493	0.797581	0.822493	0.797581	
160.000000	0.738317	0.828424	0.815304	0.794015	0.815304	0.797581	
170.000000	0.731800	0.831508	0.809886	0.791065	0.809886	0.797581	
180.000000	0.735455	0.836653	0.816234	0.796114	0.816234	0.797581	
190.000000	0.738226	0.828166	0.808769	0.791721	0.808769	0.797581	
200.000000	0.734531	0.830318	0.817972	0.794274	0.817972	0.797581	
210.000000	0.744198	0.836596	0.820455	0.800416	0.820455	0.800416	
220.000000	0.741439	0.830950	0.815997	0.796128	0.815997	0.800416	
230.000000	0.747691	0.828950	0.818713	0.798451	0.818713	0.800416	
240.000000	0.748493	0.835787	0.820348	0.801542	0.820348	0.801542	
250.000000	0.751716	0.838838	0.819876	0.803477	0.819876	0.803477	
260.000000	0.752873	0.843345	0.824420	0.806879	0.824420	0.806879	
270.000000	0.759166	0.838159	0.827555	0.808294	0.827555	0.808294	
280.000000	0.756441	0.832352	0.830539	0.806444	0.830539	0.808294	
290.000000	0.760733	0.833224	0.833817	0.809258	0.833224	0.809258	
300.000000	0.749241	0.831907	0.830673	0.803940	0.830673	0.809258	
310.000000	0.761120	0.832813	0.826241	0.806724	0.826241	0.809258	
320.000000	0.760356	0.835712	0.825533	0.807201	0.825533	0.809258	
330.000000	0.760056	0.841158	0.820900	0.807371	0.820900	0.809258	
340.000000	0.756695	0.843226	0.814094	0.804672	0.814094	0.809258	
350.000000	0.759399	0.844158	0.820096	0.807884	0.820096	0.809258	
360.000000	0.758044	0.839813	0.821168	0.806342	0.821168	0.809258	
370.000000	0.757251	0.833633	0.822435	0.804440	0.822435	0.809258	
380.000000	0.765374	0.841962	0.819474	0.808937	0.819474	0.809258	
390.000000	0.768145	0.841271	0.821961	0.810459	0.821961	0.810459	
400.000000	0.771303	0.841202	0.815153	0.809219	0.815153	0.810459	
410.000000	0.767453	0.842061	0.821408	0.810307	0.821408	0.810459	
420.000000	0.767537	0.844607	0.820271	0.810805	0.820271	0.810805	
430.000000	0.765703	0.843365	0.818214	0.809094	0.818214	0.810805	
440.000000	0.770760	0.848155	0.819420	0.812779	0.819420	0.812779	
450.000000	0.762841	0.841062	0.818887	0.807597	0.818887	0.812779	
460.000000	0.762212	0.844026	0.822397	0.809545	0.822397	0.812779	
470.000000	0.759803	0.849696	0.825406	0.811635	0.825406	0.812779	
480.000000	0.762368	0.845915	0.823729	0.810671	0.823729	0.812779	
490.000000	0.761767	0.841671	0.819100	0.807513	0.819100	0.812779	
500.000000	0.763927	0.845515	0.825221	0.811554	0.825221	0.812779	
510.000000	0.764133	0.840405	0.826049	0.810196	0.826049	0.812779	
520.000000	0.763263	0.839719	0.827958	0.810313	0.827958	0.812779	
530.000000	0.760887	0.837957	0.825738	0.808194	0.825738	0.812779	
540.000000	0.759704	0.835253	0.832602	0.809187	0.832602	0.812779	
550.000000	0.762685	0.840256	0.832739	0.811893	0.832739	0.812779	
560.000000	0.770413	0.833967	0.826600	0.810327	0.826600	0.812779	
570.000000	0.767880	0.833486	0.826440	0.809269	0.826440	0.812779	
580.000000	0.774562	0.839772	0.813897	0.809410	0.813897	0.812779	
590.000000	0.774659	0.835833	0.819617	0.810036	0.819617	0.812779	
600.000000	0.777187	0.834426	0.821906	0.811173	0.821906	0.812779	
610.000000	0.773779	0.836121	0.819869	0.809923	0.819869	0.812779	
620.000000	0.766270	0.836249	0.820181	0.807567	0.820181	0.812779	
630.000000	0.769822	0.838640	0.820772	0.809745	0.820772	0.812779	
640.000000	0.768908	0.835850	0.822155	0.808971	0.822155	0.812779	
650.000000	0.772005	0.836092	0.821011	0.809703	0.821011	0.812779	
660.000000	0.770594	0.837382	0.820924	0.809633	0.820924	0.812779	
670.000000	0.768189	0.843188	0.820032	0.810469	0.820032	0.812779	
680.000000	0.773700	0.840232	0.820766	0.811566	0.820766	0.812779	
690.000000	0.770600	0.841695	0.826637	0.812977	0.826637	0.812977	
700.000000	0.767231	0.840710	0.828897	0.812280	0.828897	0.812977	
710.000000	0.771903	0.839318	0.829273	0.813498	0.829273	0.813498	
720.000000	0.767270	0.840785	0.823716	0.810591	0.823716	0.813498	
730.000000	0.773341	0.838554	0.827570	0.813155	0.827570	0.813498	
740.000000	0.771984	0.838182	0.826626	0.812264	0.826626	0.813498	
750.000000	0.766726	0.841970	0.827756	0.812151	0.827756	0.813498	
760.000000	0.771790	0.843299	0.829042	0.814710	0.829042	0.814710	
770.000000	0.768915	0.839296	0.824055	0.810755	0.824055	0.814710	
780.000000	0.771236	0.841691	0.824223	0.812383	0.824223	0.814710	
790.000000	0.766615	0.843083	0.824963	0.811554	0.824963	0.814710	
800.000000	0.771598	0.846178	0.824558	0.814111	0.824558	0.814710	
810.000000	0.768774	0.845609	0.825401	0.813261	0.825401	0.814710	
820.000000	0.770428	0.843624	0.825036	0.813029	0.825036	0.814710	
830.000000	0.767821	0.840136	0.816984	0.808314	0.816984	0.814710	
840.000000	0.769292	0.844100	0.823692	0.812362	0.823692	0.814710	
850.000000	0.765077	0.841420	0.827639	0.811378	0.827639	0.814710	
860.000000	0.765829	0.841781	0.827792	0.811801	0.827792	0.814710	
870.000000	0.766657	0.836254	0.825677	0.809530	0.825677	0.814710	
880.000000	0.762955	0.833367	0.828177	0.808167	0.828177	0.814710	
890.000000	0.765877	0.830126	0.827379	0.807794	0.827379	0.814710	
900.000000	0.768557	0.833302	0.825372	0.809077	0.825372	0.814710	
910.000000	0.763812	0.831710	0.830259	0.808594	0.830259	0.814710	
920.000000	0.762974	0.838028	0.830539	0.810514	0.830539	0.814710	
930.000000	0.762314	0.840763	0.826141	0.809739	0.826141	0.814710	
940.000000	0.767390	0.839468	0.817827	0.808228	0.817827	0.814710	
950.000000	0.767141	0.841283	0.823397	0.810607	0.823397	0.814710	
960.000000	0.767495	0.842236	0.819052	0.809594	0.819052	0.814710	
970.000000	0.777424	0.842704	0.827457	0.815862	0.827457	0.815862	
980.000000	0.772505	0.839292	0.828530	0.813443	0.828530	0.815862	
990.000000	0.774575	0.840251	0.832000	0.815609	0.832000	0.815862	
1000.000000	0.772982	0.847179	0.828860	0.816340	0.828860	0.816340	
1010.000000	0.770339	0.847660	0.834146	0.817382	0.834146	0.817382	
1020.000000	0.782508	0.847730	0.827489	0.819242	0.827489	0.819242	
1030.000000	0.775908	0.844380	0.827237	0.815842	0.827237	0.819242	
1040.000000	0.782006	0.844849	0.829384	0.818746	0.829384	0.819242	
1050.000000	0.781417	0.845744	0.826348	0.817836	0.826348	0.819242	
1060.000000	0.777989	0.848443	0.829912	0.818781	0.829912	0.819242	
1070.000000	0.778412	0.847119	0.831530	0.819020	0.831530	0.819242	
1080.000000	0.777514	0.846355	0.829666	0.817845	0.829666	0.819242	
1090.000000	0.781488	0.852644	0.833758	0.822630	0.833758	0.822630	
1100.000000	0.778508	0.848253	0.836084	0.820949	0.836084	0.822630	
1110.000000	0.778170	0.850829	0.830773	0.819924	0.830773	0.822630	
1120.000000	0.783608	0.837517	0.828761	0.816628	0.828761	0.822630	
1130.000000	0.783053	0.843133	0.834125	0.820104	0.834125	0.822630	
1140.000000	0.783131	0.842724	0.836316	0.820724	0.836316	0.822630	
1150.000000	0.786769	0.843956	0.835189	0.821972	0.835189	0.822630	
1160.000000	0.786748	0.844532	0.830481	0.820587	0.830481	0.822630	
1170.000000	0.785105	0.847962	0.832903	0.821990	0.832903	0.822630	
1180.000000	0.781803	0.846396	0.828963	0.819054	0.828963	0.822630	
1190.000000	0.783763	0.849111	0.836189	0.823021	0.836189	0.823021	
1200.000000	0.778146	0.848339	0.827102	0.817862	0.827102	0.823021	
1210.000000	0.778889	0.847555	0.835537	0.820660	0.835537	0.823021	
1220.000000	0.781638	0.842881	0.831417	0.818646	0.831417	0.823021	
1230.000000	0.782354	0.847228	0.832920	0.820834	0.832920	0.823021	
1240.000000	0.782815	0.843135	0.828915	0.818288	0.828915	0.823021	
1250.000000	0.784623	0.841091	0.830523	0.818746	0.830523	0.823021	
1260.000000	0.780218	0.843418	0.825944	0.816527	0.825944	0.823021	
1270.000000	0.784196	0.846759	0.833518	0.821491	0.833518	0.823021	
1280.000000	0.780649	0.847064	0.829053	0.818922	0.829053	0.823021	
1290.000000	0.782476	0.848428	0.827950	0.819618	0.827950	0.823021	
1300.000000	0.780113	0.853105	0.830811	0.821343	0.830811	0.823021	
1310.000000	0.785472	0.850313	0.829471	0.821752	0.829471	0.823021	
1320.000000	0.783067	0.846442	0.837490	0.822333	0.837490	0.823021	
1330.000000	0.781701	0.853622	0.836594	0.823972	0.836594	0.823972	
1340.000000	0.786456	0.845736	0.832440	0.821544	0.832440	0.823972	
1350.000000	0.783639	0.849264	0.827922	0.820275	0.827922	0.823972	
1360.000000	0.785374	0.849525	0.832653	0.822517	0.832653	0.823972	
1370.000000	0.788826	0.851849	0.828125	0.822933	0.828125	0.823972	
1380.000000	0.785622	0.850875	0.828901	0.821799	0.828901	0.823972	
1390.000000	0.788297	0.851400	0.829556	0.823084	0.829556	0.823972	
1400.000000	0.784542	0.853629	0.825790	0.821321	0.825790	0.823972	
1410.000000	0.784475	0.853342	0.830546	0.822788	0.830546	0.823972	
1420.000000	0.781669	0.854816	0.832439	0.822975	0.832439	0.823972	
1430.000000	0.777997	0.852366	0.829043	0.819802	0.829043	0.823972	
1440.000000	0.777172	0.851663	0.827901	0.818912	0.827901	0.823972	
1450.000000	0.781017	0.854006	0.831325	0.822116	0.831325	0.823972	
1460.000000	0.781162	0.849185	0.833897	0.821415	0.833897	0.823972	
1470.000000	0.787279	0.850252	0.832612	0.823381	0.832612	0.823972	
1480.000000	0.781124	0.849496	0.832507	0.821042	0.832507	0.823972	
1490.000000	0.786394	0.849119	0.831172	0.822228	0.831172	0.823972	
1500.000000	0.786942	0.850431	0.825094	0.820822	0.825094	0.823972	
1510.000000	0.787655	0.849733	0.833411	0.823599	0.833411	0.823972	
1520.000000	0.788072	0.849738	0.833354	0.823721	0.833354	0.823972	
1530.000000	0.791436	0.853995	0.832693	0.826041	0.832693	0.826041	
1540.000000	0.786093	0.848750	0.837680	0.824174	0.837680	0.826041	
1550.000000	0.788653	0.848151	0.834968	0.823924	0.834968	0.826041	
1560.000000	0.791517	0.851168	0.834623	0.825769	0.834623	0.826041	
1570.000000	0.791863	0.850248	0.833917	0.825343	0.833917	0.826041	
1580.000000	0.791134	0.847036	0.836641	0.824937	0.836641	0.826041	
1590.000000	0.792922	0.846936	0.834688	0.824849	0.834688	0.826041	
1600.000000	0.794061	0.847946	0.835182	0.825730	0.835182	0.826041	
1610.000000	0.795584	0.847862	0.830119	0.824522	0.830119	0.826041	
1620.000000	0.787150	0.847705	0.836598	0.823818	0.836598	0.826041	
1630.000000	0.791148	0.846342	0.828021	0.821837	0.828021	0.826041	
1640.000000	0.792071	0.853679	0.829704	0.825151	0.829704	0.826041	
1650.000000	0.786467	0.852274	0.835476	0.824739	0.835476	0.826041	
1660.000000	0.786352	0.851289	0.827976	0.821872	0.827976	0.826041	
1670.000000	0.783637	0.851727	0.834699	0.823354	0.834699	0.826041	
1680.000000	0.786202	0.853316	0.833699	0.824406	0.833699	0.826041	
1690.000000	0.786719	0.851547	0.833235	0.823834	0.833235	0.826041	
1700.000000	0.784240	0.847265	0.832156	0.821220	0.832156	0.826041	
1710.000000	0.783954	0.847253	0.830639	0.820615	0.830639	0.826041	
1720.000000	0.783958	0.846681	0.832248	0.820962	0.832248	0.826041	
1730.000000	0.782885	0.844027	0.836672	0.821195	0.836672	0.826041	
1740.000000	0.780909	0.842895	0.837934	0.820580	0.837934	0.826041	
1750.000000	0.784566	0.840847	0.833354	0.819589	0.833354	0.826041	
1760.000000	0.781522	0.840066	0.830609	0.817399	0.830609	0.826041	
1770.000000	0.782008	0.841088	0.840365	0.821154	0.840365	0.826041	
1780.000000	0.780742	0.844116	0.830456	0.818438	0.830456	0.826041	
1790.000000	0.787758	0.840246	0.832584	0.820196	0.832584	0.826041	
1800.000000	0.790032	0.847331	0.836028	0.824464	0.836028	0.826041	
1810.000000	0.791051	0.849195	0.837187	0.825811	0.837187	0.826041	
1820.000000	0.786620	0.853102	0.838258	0.825994	0.838258	0.826041	
1830.000000	0.786961	0.852665	0.840393	0.826673	0.840393	0.826673	
1840.000000	0.789502	0.853766	0.831800	0.825023	0.831800	0.826673	
1850.000000	0.792074	0.851490	0.827217	0.823594	0.827217	0.826673	
1860.000000	0.790943	0.855347	0.834175	0.826821	0.834175	0.826821	
1870.000000	0.788157	0.851057	0.830792	0.823335	0.830792	0.826821	
1880.000000	0.781421	0.855695	0.825706	0.820941	0.825706	0.826821	
1890.000000	0.787339	0.853872	0.826593	0.822601	0.826593	0.826821	
1900.000000	0.789064	0.852382	0.831905	0.824450	0.831905	0.826821	
1910.000000	0.780670	0.849466	0.835987	0.822041	0.835987	0.826821	
1920.000000	0.789149	0.852433	0.832268	0.824617	0.832268	0.826821	
1930.000000	0.791290	0.852502	0.832535	0.825442	0.832535	0.826821	
1940.000000	0.790608	0.849884	0.827684	0.822725	0.827684	0.826821	
1950.000000	0.792158	0.847868	0.830501	0.823509	0.830501	0.826821	
1960.000000	0.791810	0.847035	0.832692	0.823846	0.832692	0.826821	
1970.000000	0.786627	0.850221	0.829737	0.822195	0.829737	0.826821	
1980.000000	0.789460	0.849415	0.833455	0.824110	0.833455	0.826821	
1990.000000	0.788962	0.851014	0.833693	0.824556	0.833693	0.826821	
2000.000000	0.784247	0.854256	0.832454	0.823652	0.832454	0.826821	
2010.000000	0.783556	0.850577	0.833056	0.822396	0.833056	0.826821	
