Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.362107	0.249702	0.356151	0.414015	0.509373	0.378269	0.362107	0.378269	
10.000000	0.393275	0.238060	0.337672	0.460037	0.601684	0.406146	0.393275	0.406146	
20.000000	0.443474	0.313709	0.332587	0.575327	0.620846	0.457189	0.443474	0.457189	
30.000000	0.411192	0.301597	0.364735	0.555827	0.601211	0.446912	0.411192	0.457189	
40.000000	0.441905	0.341006	0.380668	0.561139	0.617820	0.468508	0.441905	0.468508	
50.000000	0.388850	0.316807	0.398925	0.588203	0.595764	0.457710	0.398925	0.468508	
60.000000	0.414667	0.324419	0.381887	0.550728	0.588039	0.451948	0.414667	0.468508	
70.000000	0.408443	0.336242	0.380632	0.540260	0.618551	0.456825	0.408443	0.468508	
80.000000	0.442398	0.342453	0.386848	0.561953	0.581899	0.463110	0.442398	0.468508	
90.000000	0.433230	0.369675	0.405404	0.529428	0.587482	0.465044	0.433230	0.468508	
100.000000	0.453308	0.368707	0.424817	0.530835	0.569845	0.469503	0.453308	0.469503	
110.000000	0.455507	0.376252	0.426930	0.557365	0.597721	0.482755	0.455507	0.482755	
120.000000	0.431760	0.427052	0.477173	0.566281	0.587847	0.498023	0.477173	0.498023	
130.000000	0.433789	0.436240	0.507660	0.534966	0.574920	0.497515	0.507660	0.498023	
140.000000	0.448954	0.429472	0.503796	0.590395	0.580819	0.510687	0.503796	0.510687	
150.000000	0.425128	0.423584	0.519248	0.555031	0.557931	0.496184	0.519248	0.510687	
160.000000	0.437808	0.409782	0.465756	0.577494	0.586231	0.495414	0.465756	0.510687	
170.000000	0.399365	0.432336	0.508273	0.557793	0.565356	0.492625	0.508273	0.510687	
180.000000	0.418703	0.362765	0.470425	0.553257	0.587032	0.478436	0.470425	0.510687	
190.000000	0.429309	0.408281	0.480310	0.558833	0.579106	0.491168	0.480310	0.510687	
200.000000	0.424208	0.369905	0.456674	0.546214	0.593662	0.478133	0.456674	0.510687	
210.000000	0.456371	0.376113	0.477586	0.528939	0.557267	0.479255	0.477586	0.510687	
220.000000	0.451497	0.431105	0.530980	0.527718	0.590452	0.506350	0.527718	0.510687	
230.000000	0.396660	0.393728	0.461867	0.548498	0.567797	0.473710	0.461867	0.510687	
240.000000	0.451275	0.437354	0.459207	0.539806	0.542340	0.485996	0.459207	0.510687	
250.000000	0.430387	0.372747	0.452554	0.512959	0.548843	0.463498	0.452554	0.510687	
260.000000	0.477375	0.390079	0.545112	0.540541	0.552847	0.501191	0.540541	0.510687	
270.000000	0.490246	0.402419	0.572026	0.540045	0.539321	0.508812	0.539321	0.510687	
280.000000	0.514400	0.376513	0.506141	0.552800	0.574084	0.504787	0.514400	0.510687	
290.000000	0.479111	0.362876	0.495493	0.537282	0.540591	0.483071	0.495493	0.510687	
300.000000	0.454670	0.362999	0.497346	0.515670	0.546367	0.475410	0.497346	0.510687	
310.000000	0.484745	0.360014	0.477366	0.543027	0.551309	0.483292	0.484745	0.510687	
320.000000	0.461700	0.352262	0.475877	0.536849	0.531559	0.471650	0.475877	0.510687	
330.000000	0.519432	0.400521	0.498442	0.571954	0.536152	0.505300	0.519432	0.510687	
340.000000	0.532798	0.447602	0.584763	0.573345	0.514630	0.530628	0.532798	0.530628	
350.000000	0.545676	0.515397	0.567440	0.604081	0.541888	0.554896	0.545676	0.554896	
360.000000	0.582835	0.483226	0.572378	0.614572	0.515865	0.553775	0.572378	0.554896	
370.000000	0.604426	0.494196	0.579301	0.632783	0.510956	0.564332	0.579301	0.564332	
380.000000	0.599408	0.485025	0.603454	0.630702	0.529990	0.569716	0.599408	0.569716	
390.000000	0.590420	0.459074	0.600728	0.628864	0.487310	0.553279	0.590420	0.569716	
400.000000	0.599787	0.478772	0.609185	0.625430	0.518157	0.566266	0.599787	0.569716	
410.000000	0.589569	0.524528	0.616658	0.636847	0.498441	0.573209	0.589569	0.573209	
420.000000	0.616138	0.533264	0.625456	0.640847	0.513357	0.585812	0.616138	0.585812	
430.000000	0.596908	0.517375	0.631474	0.626323	0.493950	0.573206	0.596908	0.585812	
440.000000	0.618967	0.497606	0.612773	0.636506	0.484177	0.570006	0.612773	0.585812	
450.000000	0.593460	0.507467	0.648094	0.632846	0.497715	0.575917	0.593460	0.585812	
460.000000	0.634333	0.512367	0.647298	0.628512	0.504934	0.585489	0.628512	0.585812	
470.000000	0.659257	0.526167	0.676520	0.642014	0.514485	0.603689	0.642014	0.603689	
480.000000	0.627713	0.522073	0.665965	0.632846	0.519938	0.593707	0.627713	0.603689	
490.000000	0.650988	0.535636	0.612219	0.631646	0.487600	0.583618	0.612219	0.603689	
500.000000	0.635438	0.540531	0.642294	0.637424	0.507481	0.592634	0.635438	0.603689	
510.000000	0.628269	0.516443	0.649521	0.628648	0.489342	0.582445	0.628269	0.603689	
520.000000	0.675869	0.572717	0.675652	0.659638	0.500843	0.616944	0.659638	0.616944	
