Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.535093	0.712139	0.766913	0.518362	0.562228	0.618947	0.562228	0.618947	
10.000000	0.488439	0.574502	0.675125	0.573388	0.592806	0.580852	0.574502	0.618947	
20.000000	0.543728	0.512339	0.586685	0.615393	0.621756	0.575980	0.586685	0.618947	
30.000000	0.496786	0.464256	0.598068	0.616110	0.621431	0.559330	0.598068	0.618947	
40.000000	0.484269	0.456164	0.550617	0.614209	0.620687	0.545189	0.550617	0.618947	
50.000000	0.479156	0.417739	0.544127	0.572678	0.618061	0.526352	0.544127	0.618947	
60.000000	0.489179	0.421143	0.595025	0.603703	0.628801	0.547570	0.595025	0.618947	
70.000000	0.508729	0.439104	0.577069	0.621551	0.604862	0.550263	0.577069	0.618947	
80.000000	0.536270	0.460601	0.615756	0.587074	0.622237	0.564388	0.587074	0.618947	
90.000000	0.543947	0.494191	0.618526	0.631962	0.631030	0.583931	0.618526	0.618947	
100.000000	0.561381	0.508343	0.639059	0.617142	0.587661	0.582717	0.587661	0.618947	
110.000000	0.569797	0.492006	0.604239	0.611893	0.600618	0.575711	0.600618	0.618947	
120.000000	0.567811	0.500127	0.598313	0.634667	0.609437	0.582071	0.598313	0.618947	
130.000000	0.577066	0.541269	0.625949	0.626015	0.611599	0.596379	0.611599	0.618947	
140.000000	0.593812	0.528131	0.649382	0.615483	0.614092	0.600180	0.614092	0.618947	
150.000000	0.605061	0.579933	0.693970	0.623857	0.584905	0.617545	0.605061	0.618947	
160.000000	0.624306	0.604327	0.723719	0.654258	0.551853	0.631693	0.624306	0.631693	
170.000000	0.662639	0.614885	0.710324	0.650365	0.603013	0.648245	0.650365	0.648245	
180.000000	0.669038	0.622332	0.710948	0.673138	0.581007	0.651292	0.669038	0.651292	
190.000000	0.667709	0.604785	0.771759	0.643812	0.565093	0.650632	0.643812	0.651292	
200.000000	0.657038	0.625785	0.712527	0.667429	0.575841	0.647724	0.657038	0.651292	
210.000000	0.670958	0.624052	0.744800	0.645686	0.601045	0.657308	0.645686	0.657308	
220.000000	0.704530	0.637549	0.763722	0.661383	0.588479	0.671133	0.661383	0.671133	
230.000000	0.698511	0.658891	0.756859	0.646563	0.609785	0.674122	0.658891	0.674122	
240.000000	0.678777	0.670925	0.770525	0.654207	0.558182	0.666523	0.670925	0.674122	
250.000000	0.682966	0.647517	0.748300	0.685148	0.548028	0.662392	0.682966	0.674122	
260.000000	0.670715	0.665346	0.722129	0.660802	0.555137	0.654826	0.665346	0.674122	
270.000000	0.686946	0.683217	0.766698	0.656793	0.572820	0.673295	0.683217	0.674122	
280.000000	0.689238	0.684560	0.751593	0.682293	0.565460	0.674629	0.684560	0.674629	
290.000000	0.702093	0.666065	0.761445	0.701428	0.552136	0.676633	0.701428	0.676633	
300.000000	0.717527	0.670457	0.758178	0.689169	0.554201	0.677906	0.689169	0.677906	
310.000000	0.704991	0.691001	0.777421	0.708751	0.563507	0.689134	0.704991	0.689134	
320.000000	0.748259	0.699977	0.789603	0.687616	0.550807	0.695252	0.699977	0.695252	
330.000000	0.703846	0.684386	0.768664	0.675965	0.540195	0.674611	0.684386	0.695252	
340.000000	0.719912	0.703664	0.802917	0.696317	0.553997	0.695362	0.703664	0.695362	
350.000000	0.711682	0.659579	0.773396	0.675754	0.522001	0.668482	0.675754	0.695362	
360.000000	0.707735	0.696647	0.777313	0.675766	0.539885	0.679469	0.696647	0.695362	
370.000000	0.697635	0.694229	0.799523	0.687720	0.557302	0.687282	0.694229	0.695362	
380.000000	0.696662	0.680673	0.767008	0.684441	0.539218	0.673600	0.684441	0.695362	
390.000000	0.721087	0.697844	0.802339	0.710572	0.540473	0.694463	0.710572	0.695362	
400.000000	0.718208	0.697880	0.766424	0.680754	0.540671	0.680787	0.697880	0.695362	
410.000000	0.722912	0.705377	0.775663	0.710807	0.536049	0.690161	0.710807	0.695362	
420.000000	0.713225	0.666247	0.770704	0.695283	0.530963	0.675284	0.695283	0.695362	
430.000000	0.725983	0.703385	0.784720	0.688774	0.538798	0.688332	0.703385	0.695362	
440.000000	0.746617	0.713866	0.772651	0.705006	0.543883	0.696404	0.713866	0.696404	
450.000000	0.745088	0.719163	0.786073	0.699953	0.536388	0.697333	0.719163	0.697333	
460.000000	0.734474	0.715574	0.786733	0.728090	0.543757	0.701726	0.728090	0.701726	
470.000000	0.759629	0.706054	0.801904	0.716320	0.555710	0.707924	0.716320	0.707924	
480.000000	0.748846	0.712139	0.796582	0.715230	0.553820	0.705323	0.715230	0.707924	
490.000000	0.723269	0.707369	0.800019	0.725896	0.518650	0.695040	0.723269	0.707924	
500.000000	0.745665	0.693749	0.805358	0.743080	0.526618	0.702894	0.743080	0.707924	
510.000000	0.711844	0.702759	0.790287	0.737961	0.538722	0.696315	0.711844	0.707924	
520.000000	0.703883	0.712776	0.788106	0.725753	0.510156	0.688135	0.712776	0.707924	
530.000000	0.706465	0.666781	0.770672	0.733805	0.527897	0.681124	0.706465	0.707924	
540.000000	0.759337	0.706623	0.773171	0.734449	0.514420	0.697600	0.734449	0.707924	
550.000000	0.734057	0.689895	0.773955	0.729447	0.534764	0.692424	0.729447	0.707924	
560.000000	0.753270	0.714232	0.769258	0.721780	0.537629	0.699234	0.721780	0.707924	
570.000000	0.733004	0.697503	0.763305	0.715633	0.534085	0.688706	0.715633	0.707924	
580.000000	0.766490	0.696145	0.765037	0.711004	0.520701	0.691875	0.711004	0.707924	
590.000000	0.748239	0.675876	0.746385	0.724232	0.535434	0.686033	0.724232	0.707924	
600.000000	0.759706	0.682023	0.739443	0.705972	0.525127	0.682454	0.705972	0.707924	
610.000000	0.717327	0.682646	0.730483	0.696184	0.542982	0.673924	0.696184	0.707924	
620.000000	0.732756	0.663467	0.736497	0.701905	0.530913	0.673108	0.701905	0.707924	
630.000000	0.717998	0.653601	0.754468	0.729318	0.538072	0.678691	0.717998	0.707924	
640.000000	0.702180	0.640059	0.716091	0.700532	0.521305	0.656033	0.700532	0.707924	
650.000000	0.736349	0.640486	0.739939	0.704723	0.538807	0.672061	0.704723	0.707924	
660.000000	0.687528	0.644588	0.735847	0.737172	0.549283	0.670884	0.687528	0.707924	
670.000000	0.697971	0.638469	0.724760	0.727352	0.514122	0.660535	0.697971	0.707924	
680.000000	0.743191	0.648026	0.738766	0.714458	0.519245	0.672737	0.714458	0.707924	
690.000000	0.721077	0.621208	0.712256	0.720053	0.511065	0.657132	0.712256	0.707924	
700.000000	0.743457	0.655692	0.733197	0.713029	0.522723	0.673619	0.713029	0.707924	
710.000000	0.726404	0.661000	0.713504	0.718069	0.497137	0.663223	0.713504	0.707924	
720.000000	0.709762	0.650914	0.722229	0.710306	0.491696	0.656981	0.709762	0.707924	
730.000000	0.725441	0.666626	0.714019	0.700055	0.470286	0.655285	0.700055	0.707924	
740.000000	0.750737	0.667500	0.739577	0.707513	0.485473	0.670160	0.707513	0.707924	
750.000000	0.745778	0.684105	0.755454	0.704667	0.493545	0.676710	0.704667	0.707924	
760.000000	0.757532	0.716699	0.778821	0.735188	0.500084	0.697665	0.735188	0.707924	
770.000000	0.791982	0.688979	0.769961	0.719145	0.485018	0.691017	0.719145	0.707924	
780.000000	0.778015	0.698713	0.769273	0.714916	0.503395	0.692862	0.714916	0.707924	
790.000000	0.790698	0.685441	0.749128	0.701637	0.484375	0.682256	0.701637	0.707924	
800.000000	0.780039	0.693145	0.761705	0.724450	0.479035	0.687675	0.724450	0.707924	
810.000000	0.778821	0.706366	0.761437	0.705117	0.479336	0.686215	0.706366	0.707924	
820.000000	0.748021	0.678937	0.760196	0.725227	0.489333	0.680343	0.725227	0.707924	
830.000000	0.762112	0.708400	0.766671	0.695588	0.493926	0.685340	0.708400	0.707924	
840.000000	0.760253	0.700864	0.769236	0.699125	0.507881	0.687472	0.700864	0.707924	
850.000000	0.768137	0.716499	0.786203	0.738538	0.516703	0.705216	0.738538	0.707924	
860.000000	0.760114	0.709253	0.761923	0.710374	0.504396	0.689212	0.710374	0.707924	
870.000000	0.742218	0.684722	0.767868	0.720685	0.517973	0.686693	0.720685	0.707924	
880.000000	0.734507	0.690522	0.747401	0.707181	0.513136	0.678549	0.707181	0.707924	
890.000000	0.740670	0.715109	0.770575	0.709582	0.511631	0.689513	0.715109	0.707924	
900.000000	0.730016	0.711872	0.763664	0.725799	0.526282	0.691527	0.725799	0.707924	
910.000000	0.753565	0.720854	0.767546	0.713091	0.530405	0.697092	0.720854	0.707924	
920.000000	0.699409	0.713314	0.740547	0.706821	0.503667	0.672752	0.706821	0.707924	
930.000000	0.741400	0.702572	0.729162	0.688936	0.530656	0.678545	0.702572	0.707924	
940.000000	0.752453	0.703722	0.726442	0.680253	0.520658	0.676705	0.703722	0.707924	
950.000000	0.754752	0.713507	0.739069	0.680986	0.505294	0.678722	0.713507	0.707924	
960.000000	0.750014	0.695629	0.738370	0.684198	0.524781	0.678599	0.695629	0.707924	
970.000000	0.721777	0.676050	0.707285	0.681742	0.521591	0.661689	0.681742	0.707924	
980.000000	0.719221	0.679323	0.715788	0.692846	0.510067	0.663449	0.692846	0.707924	
990.000000	0.760421	0.686785	0.725820	0.705670	0.524693	0.680678	0.705670	0.707924	
1000.000000	0.732843	0.680894	0.727735	0.702334	0.523293	0.673420	0.702334	0.707924	
1010.000000	0.756517	0.696143	0.721194	0.690860	0.537461	0.680435	0.696143	0.707924	
1020.000000	0.752439	0.671108	0.726677	0.700086	0.516591	0.673380	0.700086	0.707924	
1030.000000	0.768377	0.711158	0.749612	0.680955	0.532038	0.688428	0.711158	0.707924	
1040.000000	0.763434	0.686378	0.743092	0.704170	0.508457	0.681106	0.704170	0.707924	
1050.000000	0.786538	0.677330	0.733803	0.709913	0.507530	0.683023	0.709913	0.707924	
1060.000000	0.738877	0.648088	0.721098	0.697364	0.509967	0.663079	0.697364	0.707924	
1070.000000	0.759212	0.679764	0.752523	0.689607	0.539197	0.684061	0.689607	0.707924	
1080.000000	0.768137	0.642970	0.741592	0.688338	0.524099	0.673027	0.688338	0.707924	
1090.000000	0.774166	0.630551	0.733654	0.679104	0.547219	0.672939	0.679104	0.707924	
1100.000000	0.777492	0.659311	0.722972	0.699631	0.547928	0.681467	0.699631	0.707924	
1110.000000	0.771567	0.650021	0.729687	0.690075	0.544974	0.677265	0.690075	0.707924	
1120.000000	0.782657	0.652906	0.742518	0.685334	0.548684	0.682420	0.685334	0.707924	
1130.000000	0.771605	0.613131	0.710331	0.680839	0.523423	0.659866	0.680839	0.707924	
1140.000000	0.771687	0.646559	0.748080	0.694694	0.544354	0.681075	0.694694	0.707924	
1150.000000	0.744649	0.634363	0.730893	0.698151	0.528523	0.667316	0.698151	0.707924	
1160.000000	0.755184	0.621446	0.730639	0.694045	0.506744	0.661612	0.694045	0.707924	
1170.000000	0.763455	0.630130	0.731558	0.699091	0.503120	0.665471	0.699091	0.707924	
1180.000000	0.746197	0.624446	0.712962	0.705505	0.501357	0.658093	0.705505	0.707924	
1190.000000	0.778520	0.659323	0.738454	0.682454	0.500046	0.671759	0.682454	0.707924	
1200.000000	0.754103	0.652718	0.734150	0.699495	0.509683	0.670030	0.699495	0.707924	
1210.000000	0.762793	0.665388	0.725090	0.668609	0.471601	0.658696	0.668609	0.707924	
1220.000000	0.766511	0.682240	0.741434	0.683021	0.488140	0.672269	0.683021	0.707924	
1230.000000	0.757733	0.652593	0.715094	0.676999	0.493439	0.659172	0.676999	0.707924	
1240.000000	0.750330	0.654272	0.706359	0.656751	0.502094	0.653961	0.656751	0.707924	
1250.000000	0.768158	0.673337	0.720290	0.675769	0.484599	0.664431	0.675769	0.707924	
1260.000000	0.762699	0.645889	0.741172	0.671651	0.493312	0.662945	0.671651	0.707924	
1270.000000	0.784233	0.646650	0.720295	0.677702	0.496590	0.665094	0.677702	0.707924	
1280.000000	0.771864	0.626938	0.706586	0.673783	0.508581	0.657550	0.673783	0.707924	
1290.000000	0.733600	0.607890	0.689964	0.666310	0.491088	0.637770	0.666310	0.707924	
1300.000000	0.695447	0.599932	0.671296	0.672523	0.503803	0.628600	0.671296	0.707924	
1310.000000	0.728522	0.631746	0.711457	0.682900	0.480107	0.646947	0.682900	0.707924	
1320.000000	0.736208	0.605358	0.678926	0.711970	0.481247	0.642742	0.678926	0.707924	
1330.000000	0.739780	0.609826	0.713150	0.702569	0.491729	0.651411	0.702569	0.707924	
1340.000000	0.765922	0.621378	0.695638	0.702806	0.479200	0.652989	0.695638	0.707924	
1350.000000	0.777808	0.630518	0.676043	0.716032	0.507876	0.661655	0.676043	0.707924	
1360.000000	0.715060	0.612379	0.698540	0.710708	0.488932	0.645124	0.698540	0.707924	
1370.000000	0.728506	0.617540	0.677482	0.707365	0.497733	0.645725	0.677482	0.707924	
1380.000000	0.715633	0.596218	0.675784	0.709279	0.492399	0.637863	0.675784	0.707924	
1390.000000	0.681817	0.557791	0.621919	0.691211	0.488480	0.608244	0.621919	0.707924	
1400.000000	0.696238	0.580017	0.633438	0.704630	0.500323	0.622929	0.633438	0.707924	
1410.000000	0.720102	0.573372	0.642430	0.704597	0.488619	0.625824	0.642430	0.707924	
1420.000000	0.735939	0.589448	0.683027	0.707523	0.494496	0.642087	0.683027	0.707924	
1430.000000	0.730923	0.609906	0.686371	0.722727	0.485600	0.647105	0.686371	0.707924	
1440.000000	0.753821	0.630046	0.692905	0.729481	0.484930	0.658237	0.692905	0.707924	
1450.000000	0.727864	0.625235	0.678508	0.719092	0.492715	0.648683	0.678508	0.707924	
1460.000000	0.721424	0.622293	0.650354	0.733872	0.465180	0.638625	0.650354	0.707924	
1470.000000	0.735522	0.647339	0.695088	0.731637	0.490999	0.660117	0.695088	0.707924	
1480.000000	0.737607	0.604282	0.675369	0.715223	0.498020	0.646100	0.675369	0.707924	
1490.000000	0.718363	0.629681	0.661568	0.719164	0.498770	0.645509	0.661568	0.707924	
1500.000000	0.723330	0.635932	0.665129	0.710161	0.481244	0.643159	0.665129	0.707924	
1510.000000	0.719346	0.614279	0.654516	0.717057	0.475402	0.636120	0.654516	0.707924	
1520.000000	0.732008	0.590311	0.649699	0.711672	0.495202	0.635778	0.649699	0.707924	
1530.000000	0.753509	0.563413	0.623521	0.699731	0.474720	0.622979	0.623521	0.707924	
1540.000000	0.748876	0.567735	0.616210	0.701312	0.494989	0.625824	0.616210	0.707924	
1550.000000	0.713802	0.568065	0.617155	0.698931	0.483967	0.616384	0.617155	0.707924	
1560.000000	0.745187	0.597649	0.673901	0.702899	0.489723	0.641872	0.673901	0.707924	
1570.000000	0.728280	0.623457	0.666233	0.711054	0.474950	0.640795	0.666233	0.707924	
1580.000000	0.736170	0.625209	0.681727	0.713591	0.452930	0.641925	0.681727	0.707924	
1590.000000	0.745210	0.610439	0.680684	0.720286	0.466004	0.644525	0.680684	0.707924	
1600.000000	0.744770	0.619001	0.682936	0.686025	0.447902	0.636127	0.682936	0.707924	
1610.000000	0.765882	0.622036	0.683205	0.690598	0.472041	0.646752	0.683205	0.707924	
1620.000000	0.763392	0.666433	0.737960	0.711551	0.464267	0.668721	0.711551	0.707924	
1630.000000	0.757462	0.645478	0.703225	0.703676	0.458109	0.653590	0.703225	0.707924	
1640.000000	0.791928	0.649410	0.734220	0.720885	0.455194	0.670328	0.720885	0.707924	
1650.000000	0.784382	0.688716	0.735693	0.700522	0.464589	0.674780	0.700522	0.707924	
1660.000000	0.798607	0.641570	0.711544	0.691301	0.468482	0.662301	0.691301	0.707924	
1670.000000	0.782970	0.633907	0.714413	0.695801	0.467924	0.659003	0.695801	0.707924	
1680.000000	0.745515	0.657216	0.686280	0.686931	0.461175	0.647424	0.686280	0.707924	
1690.000000	0.788003	0.638083	0.719704	0.697780	0.476660	0.664046	0.697780	0.707924	
1700.000000	0.781528	0.659697	0.746197	0.703630	0.463529	0.670916	0.703630	0.707924	
1710.000000	0.783097	0.632796	0.728260	0.708053	0.463963	0.663234	0.708053	0.707924	
1720.000000	0.790837	0.636463	0.723297	0.702770	0.456405	0.661954	0.702770	0.707924	
1730.000000	0.741758	0.618000	0.690597	0.708945	0.464654	0.644791	0.690597	0.707924	
1740.000000	0.781052	0.646601	0.732496	0.703298	0.481849	0.669059	0.703298	0.707924	
1750.000000	0.778635	0.665416	0.731687	0.705611	0.469651	0.670200	0.705611	0.707924	
1760.000000	0.774974	0.641950	0.756065	0.697497	0.463951	0.666887	0.697497	0.707924	
1770.000000	0.773160	0.656523	0.723894	0.701341	0.468771	0.664738	0.701341	0.707924	
1780.000000	0.790114	0.678345	0.754761	0.692718	0.480296	0.679247	0.692718	0.707924	
1790.000000	0.804339	0.664997	0.744428	0.689699	0.486501	0.677993	0.689699	0.707924	
1800.000000	0.773313	0.648689	0.748061	0.691477	0.480975	0.668503	0.691477	0.707924	
1810.000000	0.765121	0.659985	0.729955	0.690690	0.456461	0.660443	0.690690	0.707924	
1820.000000	0.767576	0.631098	0.712488	0.692408	0.488929	0.658500	0.692408	0.707924	
1830.000000	0.745316	0.636947	0.712085	0.686546	0.485122	0.653203	0.686546	0.707924	
1840.000000	0.783232	0.674514	0.739223	0.686645	0.454739	0.667671	0.686645	0.707924	
1850.000000	0.761144	0.648882	0.740329	0.722819	0.489960	0.672627	0.722819	0.707924	
1860.000000	0.757417	0.659137	0.755965	0.722749	0.462870	0.671628	0.722749	0.707924	
1870.000000	0.755789	0.685272	0.755005	0.715417	0.470216	0.676340	0.715417	0.707924	
1880.000000	0.752512	0.642819	0.708157	0.738630	0.442620	0.656947	0.708157	0.707924	
1890.000000	0.735301	0.644884	0.703550	0.713213	0.440131	0.647416	0.703550	0.707924	
1900.000000	0.750770	0.661190	0.721008	0.718454	0.469377	0.664160	0.718454	0.707924	
1910.000000	0.767112	0.690306	0.749250	0.716962	0.431015	0.670929	0.716962	0.707924	
1920.000000	0.748996	0.671225	0.727706	0.707421	0.439343	0.658938	0.707421	0.707924	
1930.000000	0.757393	0.658506	0.743468	0.701404	0.441248	0.660404	0.701404	0.707924	
1940.000000	0.761724	0.666325	0.731187	0.704131	0.464498	0.665573	0.704131	0.707924	
1950.000000	0.727889	0.632082	0.695059	0.703496	0.456602	0.643025	0.695059	0.707924	
1960.000000	0.744496	0.614958	0.716684	0.729115	0.443383	0.649727	0.716684	0.707924	
1970.000000	0.727637	0.604162	0.682035	0.714768	0.448186	0.635357	0.682035	0.707924	
1980.000000	0.739396	0.591727	0.668657	0.713753	0.440681	0.630843	0.668657	0.707924	
1990.000000	0.709441	0.598262	0.673051	0.735326	0.457680	0.634752	0.673051	0.707924	
2000.000000	0.722821	0.599678	0.702808	0.725915	0.449069	0.640058	0.702808	0.707924	
2010.000000	0.730454	0.617082	0.695856	0.732044	0.461665	0.647420	0.695856	0.707924	
2020.000000	0.706065	0.579984	0.673845	0.718835	0.427948	0.621335	0.673845	0.707924	
2030.000000	0.733981	0.587858	0.698369	0.717263	0.447131	0.636921	0.698369	0.707924	
2040.000000	0.712214	0.606077	0.680369	0.724069	0.432189	0.630984	0.680369	0.707924	
2050.000000	0.708876	0.596599	0.662042	0.715112	0.421625	0.620851	0.662042	0.707924	
2060.000000	0.736102	0.589982	0.683086	0.730934	0.436094	0.635239	0.683086	0.707924	
2070.000000	0.743321	0.605649	0.695130	0.728466	0.435580	0.641629	0.695130	0.707924	
2080.000000	0.702726	0.578157	0.684849	0.737101	0.431348	0.626836	0.684849	0.707924	
2090.000000	0.714997	0.603745	0.677145	0.723033	0.398177	0.623419	0.677145	0.707924	
2100.000000	0.705316	0.607559	0.684299	0.714123	0.441003	0.630460	0.684299	0.707924	
2110.000000	0.693005	0.580844	0.639010	0.729759	0.428498	0.614223	0.639010	0.707924	
2120.000000	0.675882	0.564343	0.621574	0.733102	0.450953	0.609171	0.621574	0.707924	
2130.000000	0.700632	0.556631	0.636020	0.721313	0.436877	0.610294	0.636020	0.707924	
2140.000000	0.725457	0.567856	0.653974	0.720254	0.428577	0.619224	0.653974	0.707924	
2150.000000	0.748478	0.593317	0.653343	0.721533	0.420767	0.627488	0.653343	0.707924	
2160.000000	0.707457	0.563958	0.640739	0.737506	0.427709	0.615474	0.640739	0.707924	
2170.000000	0.720955	0.588852	0.652750	0.712617	0.403866	0.615808	0.652750	0.707924	
2180.000000	0.727856	0.600843	0.648544	0.702661	0.409442	0.617869	0.648544	0.707924	
2190.000000	0.739374	0.579172	0.657701	0.703281	0.409640	0.617834	0.657701	0.707924	
2200.000000	0.739902	0.598786	0.671400	0.714959	0.420801	0.629169	0.671400	0.707924	
2210.000000	0.722328	0.571519	0.636655	0.689392	0.420733	0.608125	0.636655	0.707924	
2220.000000	0.738194	0.579061	0.630916	0.683498	0.428450	0.612024	0.630916	0.707924	
2230.000000	0.721110	0.599537	0.652381	0.678116	0.470301	0.624289	0.652381	0.707924	
2240.000000	0.742187	0.557524	0.621980	0.689821	0.484589	0.619220	0.621980	0.707924	
2250.000000	0.711081	0.551085	0.642923	0.679552	0.468875	0.610703	0.642923	0.707924	
2260.000000	0.711305	0.558043	0.620407	0.660499	0.465998	0.603250	0.620407	0.707924	
2270.000000	0.691165	0.574363	0.628313	0.668274	0.453088	0.603041	0.628313	0.707924	
2280.000000	0.696854	0.543338	0.624378	0.680289	0.481575	0.605287	0.624378	0.707924	
2290.000000	0.688706	0.577769	0.617571	0.675980	0.468969	0.605799	0.617571	0.707924	
2300.000000	0.690508	0.558452	0.647603	0.686192	0.443280	0.605207	0.647603	0.707924	
2310.000000	0.709340	0.585342	0.649665	0.681655	0.467453	0.618691	0.649665	0.707924	
2320.000000	0.704069	0.558078	0.622681	0.691208	0.478666	0.610940	0.622681	0.707924	
2330.000000	0.700238	0.534588	0.650109	0.698342	0.463985	0.609453	0.650109	0.707924	
2340.000000	0.730544	0.543662	0.626687	0.680691	0.512196	0.618756	0.626687	0.707924	
2350.000000	0.713910	0.553655	0.625734	0.691063	0.498167	0.616506	0.625734	0.707924	
2360.000000	0.729408	0.559679	0.640905	0.664876	0.518591	0.622692	0.640905	0.707924	
2370.000000	0.733911	0.550719	0.638140	0.674766	0.486938	0.616895	0.638140	0.707924	
2380.000000	0.720149	0.568263	0.682372	0.689673	0.495158	0.631123	0.682372	0.707924	
2390.000000	0.728833	0.572682	0.643755	0.682017	0.475936	0.620645	0.643755	0.707924	
2400.000000	0.756437	0.584119	0.653411	0.682489	0.470186	0.629328	0.653411	0.707924	
2410.000000	0.726492	0.579284	0.646436	0.698313	0.473432	0.624791	0.646436	0.707924	
2420.000000	0.728386	0.572327	0.665303	0.684026	0.470094	0.624027	0.665303	0.707924	
2430.000000	0.729830	0.587804	0.650801	0.687042	0.484463	0.627988	0.650801	0.707924	
2440.000000	0.736319	0.575432	0.643031	0.679237	0.510681	0.628940	0.643031	0.707924	
2450.000000	0.721424	0.593345	0.647760	0.701276	0.491673	0.631095	0.647760	0.707924	
