Epoch	AUC-454	AUC-455	AUC-456	AUC-457	AUC-458	AUC-459	AUC-460	AUC-461	AUC-462	AUC-463	AUC-464	AUC-465	AUC-466	AUC-467	AUC-468	AUC-469	AUC-470	AUC-471	AUC-472	AUC-473	AUC-476	AUC-478	AUC-479	AUC-484	AUC-485	AUC-486	AUC-487	AUC-488	AUC-489	AUC-490	AUC-491	AUC-492	AUC-493	AUC-494	AUC-495	AUC-496	AUC-497	AUC-498	AUC-499	AUC-500	AUC-501	AUC-502	AUC-503	AUC-504	AUC-505	AUC-506	AUC-507	AUC-508	AUC-509	AUC-510	AUC-511	AUC-512	AUC-513	AUC-514	AUC-515	AUC-516	AUC-517	AUC-518	AUC-519	AUC-520	AUC-521	AUC-522	AUC-523	AUC-524	AUC-525	AUC-526	AUC-527	AUC-528	AUC-529	AUC-530	AUC-531	AUC-532	AUC-533	AUC-534	AUC-535	AUC-536	AUC-537	AUC-538	AUC-539	AUC-540	AUC-541	AUC-542	AUC-543	AUC-544	AUC-545	AUC-546	AUC-547	AUC-548	AUC-549	AUC-550	AUC-551	AUC-552	AUC-553	AUC-554	AUC-555	AUC-556	AUC-557	AUC-558	AUC-559	AUC-560	AUC-561	AUC-562	AUC-563	AUC-564	AUC-565	AUC-566	AUC-567	AUC-568	AUC-569	AUC-570	AUC-571	AUC-572	AUC-573	AUC-574	AUC-575	AUC-576	AUC-577	AUC-578	AUC-579	AUC-580	AUC-581	AUC-582	AUC-583	AUC-584	AUC-585	AUC-586	AUC-587	AUC-588	AUC-589	AUC-590	AUC-591	AUC-592	AUC-593	AUC-594	AUC-595	AUC-596	AUC-597	AUC-598	AUC-599	AUC-600	AUC-601	AUC-602	AUC-603	AUC-604	AUC-605	AUC-606	AUC-607	AUC-608	AUC-609	AUC-610	AUC-611	AUC-612	AUC-613	AUC-614	AUC-615	AUC-616	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.473602	0.436292	0.458221	0.454009	0.424742	0.438543	0.431442	0.415089	0.278606	0.483051	0.391224	0.456701	0.476031	0.458730	0.372840	0.440596	0.336330	0.484586	0.448471	0.484894	0.373034	0.413320	0.394310	0.512104	0.411027	0.389550	0.334146	0.403723	0.381763	0.415803	0.433945	0.420245	0.358164	0.382567	0.384078	0.419154	0.393332	0.474120	0.335739	0.445056	0.439545	0.528418	0.439369	0.476469	0.407856	0.571490	0.362018	0.470313	0.358304	0.472979	0.351688	0.418781	0.479073	0.346861	0.510422	0.478159	0.529680	0.463777	0.460900	0.414097	0.416507	0.441340	0.441160	0.396303	0.421275	0.377380	0.379541	0.351650	0.507640	0.379601	0.338739	0.513525	0.377570	0.366285	0.428486	0.295172	0.469862	0.491590	0.350924	0.352128	0.295911	0.471700	0.421240	0.402533	0.438016	0.340059	0.320798	0.474489	0.453422	0.421599	0.398763	0.375845	0.364376	0.369604	0.504431	0.503727	0.388589	0.370244	0.490893	0.494672	0.471970	0.443703	0.387207	0.330436	0.602895	0.383701	0.392966	0.491383	0.468467	0.362575	0.474070	0.346899	0.426412	0.381261	0.522498	0.467686	0.282087	0.362071	0.423414	0.491168	0.417333	0.395652	0.403179	0.447021	0.399117	0.471843	0.457833	0.465635	0.426615	0.423233	0.360011	0.520936	0.387325	0.438941	0.318745	0.416232	0.400549	0.376186	0.493436	0.444212	0.507298	0.489060	0.474000	0.457654	0.442483	0.479759	0.461518	0.448953	0.469895	0.532396	0.487079	0.458451	0.414124	0.429886	0.441276	0.424190	0.426230	0.426513	0.426230	
50.000000	0.562081	0.584728	0.535337	0.625430	0.613427	0.634234	0.618918	0.601937	0.685096	0.655050	0.692693	0.616511	0.606299	0.578925	0.626255	0.717964	0.695971	0.598248	0.590012	0.703567	0.583807	0.571675	0.678172	0.472982	0.726716	0.756232	0.625743	0.592604	0.637985	0.609592	0.651463	0.591129	0.654802	0.629275	0.732418	0.594123	0.732249	0.621702	0.787152	0.679761	0.654874	0.404781	0.806391	0.679792	0.710359	0.686300	0.774132	0.761983	0.754805	0.628216	0.774022	0.768175	0.599267	0.762435	0.659323	0.647572	0.676553	0.829012	0.648995	0.828471	0.686259	0.754585	0.608699	0.659726	0.725040	0.799351	0.762808	0.803969	0.531204	0.777815	0.818881	0.706493	0.753023	0.760261	0.753022	0.780129	0.755518	0.763719	0.785367	0.795846	0.799455	0.704925	0.769970	0.780514	0.753950	0.798078	0.778920	0.656705	0.729432	0.734452	0.759777	0.736373	0.764769	0.805137	0.754650	0.790561	0.734690	0.810547	0.584920	0.504821	0.679129	0.752582	0.747840	0.807892	0.799053	0.642504	0.682665	0.649423	0.772478	0.776053	0.535969	0.790756	0.761322	0.804144	0.711587	0.754318	0.789833	0.791598	0.791421	0.738625	0.773014	0.766079	0.700006	0.679424	0.710788	0.571289	0.714253	0.683071	0.711173	0.756375	0.740987	0.687833	0.725351	0.738801	0.762625	0.695546	0.735901	0.758536	0.631151	0.675649	0.616611	0.617631	0.655474	0.618610	0.657371	0.671886	0.605032	0.610438	0.642968	0.667635	0.648865	0.658085	0.605823	0.600793	0.673400	0.621423	0.693790	0.697988	0.693790	
100.000000	0.566696	0.583232	0.581253	0.677816	0.622781	0.656561	0.620119	0.620796	0.612740	0.648132	0.687571	0.646074	0.614824	0.622304	0.641497	0.764192	0.673660	0.562098	0.617112	0.773746	0.602208	0.594560	0.680131	0.489207	0.729112	0.752038	0.691154	0.645854	0.666542	0.636377	0.678764	0.631184	0.697896	0.662232	0.717892	0.588001	0.725765	0.605012	0.819676	0.679068	0.666167	0.436219	0.872941	0.682817	0.719555	0.745305	0.802845	0.775398	0.780596	0.607507	0.786788	0.790482	0.605266	0.777982	0.620648	0.632637	0.647200	0.786188	0.608372	0.796144	0.697006	0.790311	0.638693	0.697535	0.748696	0.819748	0.775255	0.834677	0.538313	0.782901	0.870393	0.683088	0.775500	0.807258	0.761851	0.807537	0.742581	0.783115	0.793466	0.821387	0.827787	0.676794	0.781871	0.806476	0.769117	0.825864	0.821362	0.684138	0.764076	0.783389	0.774069	0.722152	0.778406	0.837010	0.734241	0.807048	0.769873	0.832622	0.590155	0.476783	0.680495	0.780504	0.765320	0.837525	0.881585	0.638578	0.686725	0.669945	0.778365	0.817961	0.539118	0.805115	0.785846	0.803596	0.672013	0.751864	0.804023	0.823589	0.816183	0.735993	0.789233	0.804176	0.728393	0.691721	0.727054	0.599323	0.727006	0.684926	0.718356	0.776058	0.761326	0.685992	0.738485	0.754738	0.791353	0.692824	0.747085	0.787743	0.634863	0.698165	0.635555	0.646707	0.644316	0.636142	0.660017	0.720282	0.653712	0.619318	0.661994	0.694267	0.662026	0.658634	0.639982	0.637375	0.683200	0.623650	0.708653	0.698030	0.708653	
150.000000	0.577099	0.606921	0.601846	0.690851	0.634448	0.665727	0.634841	0.644494	0.589663	0.654704	0.707571	0.647980	0.607847	0.634715	0.645952	0.766150	0.706294	0.560324	0.623697	0.771349	0.621947	0.580419	0.688060	0.490813	0.744617	0.767691	0.715675	0.667567	0.686570	0.655425	0.691973	0.640975	0.701489	0.678238	0.734542	0.594508	0.732088	0.619536	0.822918	0.686923	0.675725	0.430698	0.872683	0.694986	0.728673	0.749673	0.806064	0.784223	0.778849	0.615551	0.789047	0.794442	0.603005	0.782189	0.619894	0.648258	0.625421	0.764117	0.618812	0.775797	0.698175	0.800447	0.648330	0.708820	0.747575	0.819993	0.778911	0.835818	0.543768	0.790005	0.870079	0.691550	0.779589	0.804592	0.762069	0.810394	0.758983	0.790158	0.802176	0.826540	0.832613	0.665821	0.779425	0.812072	0.760563	0.824274	0.823162	0.682734	0.767236	0.788158	0.779029	0.733940	0.783424	0.835496	0.744602	0.812116	0.766831	0.831658	0.588288	0.485742	0.677239	0.783585	0.757709	0.832314	0.877087	0.649305	0.693696	0.678252	0.790019	0.825333	0.546156	0.812993	0.792019	0.811142	0.681183	0.756987	0.806547	0.828561	0.820566	0.721202	0.787816	0.799440	0.728629	0.684371	0.729472	0.593823	0.729315	0.689493	0.722116	0.772724	0.768018	0.687545	0.739583	0.758005	0.793297	0.696157	0.750721	0.790430	0.653285	0.708428	0.646628	0.650999	0.672263	0.641334	0.665077	0.714349	0.661051	0.628875	0.662402	0.676415	0.675708	0.666457	0.630755	0.647242	0.679400	0.628078	0.713393	0.711585	0.713393	
200.000000	0.564388	0.605829	0.626983	0.694171	0.631632	0.681316	0.625174	0.652470	0.588702	0.655050	0.701959	0.647562	0.599211	0.629594	0.637404	0.783918	0.673993	0.586937	0.626667	0.771906	0.611074	0.587003	0.688246	0.506483	0.743555	0.761412	0.730745	0.679756	0.702044	0.673620	0.713399	0.669359	0.727089	0.703171	0.723357	0.588200	0.721687	0.620460	0.827387	0.695694	0.684868	0.436204	0.869395	0.693087	0.722202	0.752041	0.808032	0.792125	0.789077	0.604600	0.798121	0.802187	0.620485	0.790411	0.642199	0.650593	0.639457	0.762725	0.614525	0.779803	0.694045	0.807639	0.665042	0.719978	0.759418	0.824333	0.783484	0.833668	0.546328	0.789295	0.870276	0.701220	0.788857	0.824172	0.773478	0.817312	0.760635	0.791837	0.806926	0.829791	0.833544	0.679181	0.784624	0.814109	0.782642	0.822729	0.816225	0.694053	0.770759	0.787419	0.801142	0.716191	0.795561	0.839000	0.726295	0.810240	0.774390	0.833922	0.592175	0.456926	0.677035	0.781284	0.771864	0.834184	0.869043	0.662053	0.699154	0.645976	0.791740	0.833942	0.567167	0.809806	0.796906	0.808142	0.687079	0.759317	0.812560	0.833868	0.828026	0.727558	0.787321	0.811050	0.738131	0.689592	0.731207	0.607663	0.730335	0.690398	0.723493	0.778900	0.774750	0.686803	0.744359	0.759499	0.800190	0.695016	0.759585	0.798449	0.643244	0.711791	0.646762	0.665201	0.681368	0.649241	0.684055	0.730656	0.675658	0.634928	0.679795	0.723804	0.674497	0.698012	0.639833	0.673921	0.685634	0.633453	0.718365	0.721945	0.718365	
250.000000	0.581005	0.607486	0.601955	0.704132	0.638371	0.658676	0.631492	0.643198	0.607452	0.637063	0.694539	0.642867	0.604900	0.633450	0.651357	0.769764	0.699967	0.583721	0.616862	0.753066	0.626296	0.587435	0.706157	0.491475	0.761038	0.782369	0.713768	0.677690	0.686815	0.667258	0.701295	0.653599	0.717852	0.694913	0.737515	0.601985	0.731333	0.616120	0.827337	0.703343	0.687516	0.435183	0.883741	0.693102	0.733778	0.744631	0.817827	0.795855	0.792817	0.614407	0.804598	0.805994	0.623375	0.795292	0.667449	0.667759	0.658787	0.781943	0.647411	0.802806	0.714745	0.803705	0.642337	0.703866	0.757690	0.823705	0.785616	0.830199	0.543396	0.796630	0.863476	0.680167	0.779276	0.814662	0.780060	0.817043	0.765197	0.789384	0.812044	0.831716	0.834882	0.676236	0.783974	0.818142	0.786479	0.826737	0.828732	0.694512	0.774928	0.787212	0.787341	0.724246	0.801486	0.840990	0.729569	0.810088	0.770885	0.835226	0.587226	0.503661	0.679674	0.784385	0.774326	0.833773	0.861180	0.665395	0.707139	0.676356	0.795794	0.826935	0.513541	0.816146	0.796733	0.814196	0.683765	0.749453	0.816142	0.835593	0.827344	0.740097	0.795671	0.808091	0.735563	0.693192	0.730535	0.589727	0.729433	0.695039	0.723226	0.777517	0.769789	0.694140	0.740976	0.757214	0.797276	0.693692	0.755372	0.794550	0.657212	0.713390	0.664476	0.661498	0.677211	0.650359	0.674818	0.730016	0.657048	0.630654	0.661141	0.691631	0.662256	0.674516	0.646462	0.646884	0.671786	0.633049	0.718731	0.716299	0.718731	
300.000000	0.575679	0.610922	0.612848	0.700443	0.631230	0.685938	0.643308	0.650942	0.608894	0.644500	0.701770	0.664389	0.601459	0.625859	0.654839	0.768408	0.660340	0.594145	0.625354	0.756020	0.619438	0.596826	0.712873	0.485466	0.759275	0.776361	0.721739	0.676292	0.694585	0.677511	0.703674	0.665876	0.723415	0.700211	0.727127	0.608989	0.732271	0.630023	0.828125	0.709480	0.693077	0.447123	0.857463	0.683302	0.724870	0.742636	0.822409	0.798469	0.800524	0.602161	0.808732	0.810780	0.624708	0.798596	0.645443	0.668996	0.639721	0.781806	0.638937	0.797219	0.717200	0.800049	0.649654	0.714126	0.761334	0.830294	0.789580	0.832173	0.545561	0.799241	0.872716	0.689999	0.788522	0.817756	0.784022	0.827288	0.766671	0.793707	0.815219	0.832512	0.836490	0.655766	0.779631	0.820736	0.788840	0.824644	0.827271	0.703710	0.778053	0.793013	0.801887	0.717330	0.807543	0.842544	0.726413	0.811198	0.774528	0.837170	0.599569	0.508317	0.669869	0.782918	0.784703	0.825430	0.864354	0.666669	0.704809	0.661483	0.798386	0.827038	0.530652	0.820154	0.801345	0.823271	0.674473	0.753951	0.824864	0.838522	0.832806	0.734889	0.796627	0.813347	0.738711	0.694412	0.738123	0.602280	0.732430	0.701091	0.730229	0.775130	0.778201	0.692643	0.742459	0.760130	0.798198	0.702975	0.763242	0.795446	0.663619	0.724333	0.662184	0.669409	0.681790	0.677223	0.696026	0.736642	0.677707	0.645653	0.687287	0.712297	0.686759	0.702093	0.664527	0.689673	0.693990	0.647596	0.722507	0.722577	0.722507	
350.000000	0.579727	0.609386	0.619063	0.714953	0.640885	0.695261	0.651712	0.659257	0.625240	0.634296	0.713333	0.644912	0.606989	0.647668	0.649299	0.751694	0.684316	0.565092	0.641056	0.752787	0.634493	0.589054	0.696455	0.490566	0.761027	0.788635	0.742054	0.690666	0.726994	0.690663	0.729598	0.677043	0.741879	0.713047	0.734480	0.606424	0.730563	0.624151	0.827201	0.702959	0.685421	0.432030	0.877555	0.703460	0.745732	0.717591	0.822260	0.799704	0.796877	0.615540	0.809268	0.810398	0.628366	0.797513	0.638648	0.643990	0.632873	0.776142	0.629311	0.777021	0.722690	0.806986	0.666252	0.722415	0.750965	0.828766	0.787947	0.835379	0.555397	0.796709	0.876716	0.677673	0.786497	0.819313	0.781223	0.823640	0.757454	0.785708	0.810330	0.832974	0.837775	0.663571	0.786648	0.818712	0.776690	0.828288	0.830446	0.704955	0.778949	0.791706	0.802736	0.724493	0.812720	0.849087	0.718014	0.813984	0.774997	0.834268	0.594216	0.482937	0.660553	0.781450	0.783360	0.818423	0.854048	0.660828	0.695921	0.655166	0.790976	0.825138	0.525406	0.815759	0.791945	0.820117	0.662863	0.737230	0.822258	0.832611	0.829526	0.733667	0.790982	0.804027	0.735416	0.683213	0.733028	0.600725	0.730610	0.688792	0.727081	0.775139	0.780250	0.688083	0.739940	0.761557	0.800240	0.696676	0.757001	0.790194	0.665123	0.723016	0.661206	0.662129	0.684000	0.669928	0.684433	0.734057	0.671464	0.640517	0.685321	0.703271	0.689759	0.700340	0.673156	0.676361	0.706770	0.657469	0.722073	0.725744	0.722507	
400.000000	0.590911	0.633600	0.631938	0.729341	0.653156	0.694242	0.650512	0.653704	0.577644	0.631702	0.720866	0.645703	0.607194	0.663935	0.649977	0.730763	0.694306	0.565425	0.637945	0.753233	0.626798	0.590458	0.696455	0.496622	0.778858	0.796448	0.745317	0.700961	0.713246	0.681493	0.720716	0.672261	0.738711	0.709449	0.749918	0.612560	0.736636	0.616555	0.828213	0.706209	0.688170	0.426371	0.870736	0.711679	0.745465	0.710183	0.825193	0.795821	0.793574	0.632187	0.806129	0.810055	0.618339	0.799861	0.644593	0.645978	0.649586	0.766019	0.645079	0.787758	0.719838	0.812605	0.667499	0.728329	0.757549	0.825929	0.789758	0.826424	0.548926	0.797047	0.878284	0.673119	0.789527	0.819126	0.778741	0.826877	0.763405	0.795531	0.812460	0.832788	0.841291	0.689135	0.798313	0.827220	0.789706	0.833667	0.836995	0.689777	0.775227	0.798796	0.796340	0.726415	0.814396	0.847161	0.724958	0.810061	0.776234	0.836096	0.592909	0.425334	0.674887	0.786169	0.772539	0.831834	0.847730	0.661700	0.699303	0.642308	0.787867	0.831759	0.516225	0.817396	0.802905	0.815647	0.678205	0.746926	0.819813	0.834536	0.828399	0.728090	0.789621	0.810040	0.740201	0.686224	0.734080	0.601281	0.736704	0.689424	0.730597	0.773410	0.777888	0.682532	0.740746	0.761406	0.800958	0.692064	0.757053	0.798579	0.665739	0.722697	0.671470	0.671365	0.682632	0.666573	0.688834	0.730221	0.690931	0.647562	0.693517	0.710353	0.692449	0.710361	0.682293	0.690265	0.694406	0.651734	0.723532	0.727252	0.723532	
450.000000	0.591408	0.635621	0.621062	0.721717	0.639075	0.682726	0.647858	0.655218	0.588462	0.619855	0.710395	0.630549	0.612305	0.640680	0.643057	0.736184	0.647020	0.520514	0.631193	0.741527	0.615256	0.594344	0.687313	0.487610	0.774221	0.794806	0.752201	0.701224	0.732594	0.688599	0.741985	0.692514	0.742239	0.716104	0.743038	0.600663	0.729255	0.612394	0.823904	0.701694	0.688636	0.432271	0.856484	0.704531	0.747824	0.715629	0.820392	0.793874	0.795452	0.622922	0.802127	0.815114	0.615507	0.793700	0.614052	0.620274	0.622190	0.748621	0.619441	0.745781	0.702624	0.803738	0.673636	0.728345	0.757760	0.819274	0.787616	0.825539	0.557227	0.787769	0.874776	0.690709	0.797607	0.827995	0.785898	0.826555	0.755051	0.791624	0.805473	0.835638	0.837521	0.663052	0.786756	0.820332	0.786805	0.822842	0.835261	0.707225	0.786175	0.796243	0.798605	0.703408	0.809004	0.850033	0.727087	0.812342	0.784274	0.833581	0.600910	0.434043	0.672331	0.789831	0.777822	0.843615	0.859200	0.663616	0.707525	0.647672	0.789064	0.828594	0.562873	0.808825	0.800689	0.814480	0.680597	0.744855	0.820022	0.834234	0.825443	0.721955	0.787108	0.809193	0.741826	0.684806	0.734494	0.606695	0.729417	0.687285	0.727255	0.774858	0.777320	0.676169	0.737713	0.758753	0.798212	0.691885	0.753932	0.792982	0.664791	0.729945	0.683520	0.687271	0.729737	0.684598	0.690065	0.741154	0.724528	0.656535	0.702121	0.709058	0.693599	0.718760	0.667931	0.687897	0.712380	0.654865	0.722150	0.728800	0.723532	
