Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.365678	0.442220	0.280328	0.523442	0.476517	0.417637	0.442220	0.417637	
10.000000	0.485527	0.378394	0.388155	0.597380	0.613386	0.492568	0.485527	0.492568	
20.000000	0.539294	0.340085	0.521281	0.550684	0.583582	0.506985	0.539294	0.506985	
30.000000	0.540575	0.373304	0.494343	0.596308	0.610184	0.522943	0.540575	0.522943	
40.000000	0.568475	0.424737	0.508107	0.552893	0.623815	0.535605	0.552893	0.535605	
50.000000	0.516405	0.377631	0.465141	0.615420	0.630079	0.520935	0.516405	0.535605	
60.000000	0.583856	0.349948	0.463607	0.629380	0.634834	0.532325	0.583856	0.535605	
70.000000	0.557242	0.389014	0.509417	0.606237	0.651820	0.542746	0.557242	0.542746	
80.000000	0.617540	0.426520	0.553411	0.634614	0.613607	0.569138	0.613607	0.569138	
90.000000	0.618843	0.491602	0.494504	0.680318	0.613699	0.579793	0.613699	0.579793	
100.000000	0.568122	0.444705	0.529231	0.631649	0.634054	0.561552	0.568122	0.579793	
110.000000	0.617143	0.487937	0.548739	0.626021	0.639763	0.583920	0.617143	0.583920	
120.000000	0.638105	0.544907	0.586390	0.630581	0.597656	0.599528	0.597656	0.599528	
130.000000	0.708953	0.488346	0.665684	0.629564	0.641781	0.626865	0.641781	0.626865	
140.000000	0.665122	0.541610	0.599832	0.611009	0.614174	0.606349	0.611009	0.626865	
150.000000	0.687400	0.537400	0.626933	0.642174	0.561540	0.611090	0.626933	0.626865	
160.000000	0.639995	0.525451	0.610980	0.640280	0.608827	0.605107	0.610980	0.626865	
170.000000	0.595811	0.544720	0.639005	0.658934	0.605804	0.608855	0.605804	0.626865	
180.000000	0.627638	0.482315	0.595142	0.634563	0.626225	0.593176	0.626225	0.626865	
190.000000	0.582607	0.474453	0.552283	0.641033	0.624674	0.575010	0.582607	0.626865	
200.000000	0.529165	0.461326	0.542051	0.647639	0.611190	0.558274	0.542051	0.626865	
