Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.637459	0.492349	0.647336	0.508012	0.603821	0.577795	0.603821	0.577795	
10.000000	0.549013	0.367990	0.383234	0.637098	0.628991	0.513265	0.549013	0.577795	
20.000000	0.640586	0.450667	0.465646	0.610308	0.614337	0.556309	0.610308	0.577795	
30.000000	0.614269	0.440726	0.619701	0.637566	0.578099	0.578072	0.614269	0.578072	
40.000000	0.688951	0.528917	0.684212	0.617882	0.522315	0.608455	0.617882	0.608455	
50.000000	0.734142	0.553354	0.593730	0.630471	0.558212	0.613982	0.593730	0.613982	
60.000000	0.634628	0.495095	0.614185	0.673024	0.567920	0.596971	0.614185	0.613982	
70.000000	0.706986	0.530941	0.613267	0.662037	0.547015	0.612049	0.613267	0.613982	
80.000000	0.768615	0.553437	0.673239	0.671787	0.543743	0.642164	0.671787	0.642164	
90.000000	0.754165	0.548541	0.678403	0.658975	0.564167	0.640850	0.658975	0.642164	
100.000000	0.739228	0.529923	0.680784	0.664596	0.542588	0.631424	0.664596	0.642164	
110.000000	0.738842	0.580202	0.671727	0.656480	0.540529	0.637556	0.656480	0.642164	
120.000000	0.762777	0.591398	0.641978	0.676944	0.544785	0.643576	0.641978	0.643576	
130.000000	0.739315	0.589721	0.693858	0.672831	0.555006	0.650146	0.672831	0.650146	
140.000000	0.758564	0.564402	0.748434	0.675243	0.558857	0.661100	0.675243	0.661100	
150.000000	0.798692	0.609133	0.726194	0.665542	0.538388	0.667590	0.665542	0.667590	
160.000000	0.780640	0.621028	0.776491	0.587888	0.519427	0.657095	0.621028	0.667590	
170.000000	0.789079	0.550882	0.729938	0.680521	0.548724	0.659829	0.680521	0.667590	
180.000000	0.821201	0.694806	0.757399	0.641508	0.526335	0.688250	0.694806	0.688250	
190.000000	0.760562	0.647111	0.750534	0.670413	0.497642	0.665252	0.670413	0.688250	
200.000000	0.772684	0.715134	0.756366	0.642712	0.515832	0.680546	0.715134	0.688250	
210.000000	0.780103	0.648379	0.713084	0.636214	0.524947	0.660545	0.648379	0.688250	
