Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.484964	0.627530	0.645092	0.585862	0.627530	0.585862	
10.000000	0.662519	0.556019	0.743541	0.654026	0.662519	0.654026	
20.000000	0.696053	0.706108	0.746367	0.716176	0.706108	0.716176	
30.000000	0.701463	0.744857	0.782418	0.742913	0.744857	0.742913	
40.000000	0.728416	0.782785	0.799271	0.770157	0.782785	0.770157	
50.000000	0.730459	0.803298	0.815621	0.783126	0.803298	0.783126	
60.000000	0.701316	0.803108	0.813731	0.772718	0.803108	0.783126	
70.000000	0.712374	0.809374	0.814150	0.778633	0.809374	0.783126	
80.000000	0.730743	0.836905	0.817809	0.795152	0.817809	0.795152	
90.000000	0.740145	0.839324	0.820913	0.800127	0.820913	0.800127	
100.000000	0.742160	0.834756	0.831536	0.802817	0.831536	0.802817	
110.000000	0.748711	0.830604	0.828269	0.802528	0.828269	0.802817	
120.000000	0.739654	0.820559	0.808973	0.789729	0.808973	0.802817	
130.000000	0.728531	0.829140	0.816533	0.791401	0.816533	0.802817	
140.000000	0.752235	0.835765	0.824203	0.804068	0.824203	0.804068	
150.000000	0.742242	0.801826	0.820156	0.788075	0.801826	0.804068	
160.000000	0.755121	0.837580	0.822086	0.804929	0.822086	0.804929	
170.000000	0.756408	0.846593	0.819311	0.807437	0.819311	0.807437	
180.000000	0.766336	0.853180	0.830922	0.816813	0.830922	0.816813	
190.000000	0.758503	0.834154	0.827986	0.806881	0.827986	0.816813	
200.000000	0.747663	0.828896	0.821193	0.799250	0.821193	0.816813	
210.000000	0.756529	0.846483	0.816722	0.806578	0.816722	0.816813	
220.000000	0.745048	0.846900	0.814567	0.802172	0.814567	0.816813	
230.000000	0.760749	0.832788	0.778724	0.790753	0.778724	0.816813	
240.000000	0.750961	0.837014	0.821667	0.803214	0.821667	0.816813	
250.000000	0.759587	0.834978	0.812687	0.802417	0.812687	0.816813	
260.000000	0.766384	0.847237	0.809224	0.807615	0.809224	0.816813	
270.000000	0.769939	0.845306	0.812908	0.809384	0.812908	0.816813	
280.000000	0.753131	0.832611	0.831425	0.805722	0.831425	0.816813	
290.000000	0.747241	0.812873	0.832333	0.797482	0.812873	0.816813	
300.000000	0.734289	0.818121	0.827901	0.793437	0.818121	0.816813	
310.000000	0.757768	0.838807	0.821905	0.806160	0.821905	0.816813	
320.000000	0.768647	0.833795	0.817868	0.806770	0.817868	0.816813	
330.000000	0.767226	0.848525	0.827330	0.814360	0.827330	0.816813	
340.000000	0.754475	0.851030	0.804450	0.803319	0.804450	0.816813	
350.000000	0.745926	0.844589	0.818293	0.802936	0.818293	0.816813	
360.000000	0.734489	0.838137	0.818359	0.796995	0.818359	0.816813	
370.000000	0.754425	0.833581	0.824730	0.804245	0.824730	0.816813	
380.000000	0.754857	0.840564	0.797443	0.797621	0.797443	0.816813	
390.000000	0.756563	0.841646	0.811927	0.803379	0.811927	0.816813	
400.000000	0.759667	0.836184	0.802431	0.799427	0.802431	0.816813	
410.000000	0.758368	0.843960	0.826467	0.809598	0.826467	0.816813	
420.000000	0.759134	0.850066	0.825983	0.811728	0.825983	0.816813	
430.000000	0.766889	0.846816	0.807180	0.806962	0.807180	0.816813	
440.000000	0.770904	0.850408	0.798215	0.806509	0.798215	0.816813	
450.000000	0.763385	0.847354	0.820232	0.810324	0.820232	0.816813	
460.000000	0.764776	0.832715	0.825356	0.807616	0.825356	0.816813	
470.000000	0.752475	0.841103	0.821923	0.805167	0.821923	0.816813	
480.000000	0.758586	0.833041	0.818496	0.803374	0.818496	0.816813	
490.000000	0.738144	0.821265	0.802042	0.787150	0.802042	0.816813	
500.000000	0.747050	0.818360	0.800421	0.788610	0.800421	0.816813	
510.000000	0.740761	0.781076	0.806295	0.776044	0.781076	0.816813	
520.000000	0.732331	0.816652	0.825831	0.791605	0.816652	0.816813	
530.000000	0.716438	0.802686	0.773110	0.764078	0.773110	0.816813	
540.000000	0.746532	0.800426	0.812759	0.786572	0.800426	0.816813	
550.000000	0.769406	0.847956	0.833647	0.817003	0.833647	0.817003	
560.000000	0.772563	0.839012	0.829218	0.813598	0.829218	0.817003	
570.000000	0.763005	0.842836	0.828912	0.811585	0.828912	0.817003	
580.000000	0.767674	0.850907	0.820259	0.812946	0.820259	0.817003	
590.000000	0.771804	0.846190	0.827177	0.815057	0.827177	0.817003	
600.000000	0.770514	0.838305	0.835461	0.814760	0.835461	0.817003	
610.000000	0.776109	0.846233	0.830894	0.817745	0.830894	0.817745	
620.000000	0.751983	0.831945	0.823872	0.802600	0.823872	0.817745	
630.000000	0.750970	0.832253	0.836877	0.806700	0.832253	0.817745	
640.000000	0.736493	0.835053	0.827159	0.799568	0.827159	0.817745	
650.000000	0.768413	0.832498	0.822563	0.807825	0.822563	0.817745	
660.000000	0.755831	0.846552	0.826491	0.809624	0.826491	0.817745	
670.000000	0.764529	0.851868	0.828587	0.814995	0.828587	0.817745	
680.000000	0.776630	0.852902	0.836457	0.821996	0.836457	0.821996	
690.000000	0.775480	0.859222	0.830561	0.821754	0.830561	0.821996	
700.000000	0.750901	0.846854	0.837728	0.811827	0.837728	0.821996	
