Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.586829	0.487138	0.510908	0.479366	0.629878	0.538824	0.510908	0.538824	
10.000000	0.484337	0.398405	0.445857	0.622759	0.624828	0.515237	0.484337	0.538824	
20.000000	0.410528	0.450987	0.464081	0.632474	0.651828	0.521979	0.464081	0.538824	
30.000000	0.422144	0.434668	0.477090	0.655044	0.576002	0.512990	0.477090	0.538824	
40.000000	0.565375	0.508105	0.479269	0.552370	0.590812	0.539186	0.552370	0.539186	
50.000000	0.580797	0.522997	0.546457	0.625855	0.578027	0.570827	0.578027	0.570827	
60.000000	0.548831	0.568721	0.538286	0.643317	0.566730	0.573177	0.566730	0.573177	
70.000000	0.570318	0.586806	0.631394	0.672367	0.578210	0.607819	0.586806	0.607819	
80.000000	0.606306	0.599998	0.616445	0.654051	0.569939	0.609347	0.606306	0.609347	
90.000000	0.668524	0.628317	0.657413	0.664898	0.565155	0.636861	0.657413	0.636861	
100.000000	0.665068	0.600610	0.684409	0.665954	0.551995	0.633607	0.665068	0.636861	
110.000000	0.713385	0.680800	0.704643	0.673494	0.517888	0.658042	0.680800	0.658042	
120.000000	0.717569	0.716440	0.685929	0.665091	0.507810	0.658568	0.685929	0.658568	
130.000000	0.682283	0.667556	0.720307	0.661099	0.508265	0.647902	0.667556	0.658568	
140.000000	0.693642	0.668484	0.696933	0.658246	0.526326	0.648726	0.668484	0.658568	
150.000000	0.697199	0.677520	0.686527	0.671682	0.512964	0.649179	0.677520	0.658568	
160.000000	0.676288	0.645544	0.676840	0.668814	0.534956	0.640488	0.668814	0.658568	
170.000000	0.701727	0.635697	0.669790	0.643906	0.499346	0.630093	0.643906	0.658568	
180.000000	0.680566	0.624389	0.652567	0.673972	0.527306	0.631760	0.652567	0.658568	
190.000000	0.631744	0.586174	0.631501	0.656395	0.518588	0.604880	0.631501	0.658568	
200.000000	0.664973	0.589084	0.646629	0.643541	0.513419	0.611529	0.643541	0.658568	
210.000000	0.599231	0.570518	0.613977	0.662773	0.514084	0.592117	0.599231	0.658568	
220.000000	0.646625	0.660098	0.656827	0.638055	0.515673	0.623455	0.646625	0.658568	
230.000000	0.662415	0.638640	0.662762	0.658602	0.517415	0.627967	0.658602	0.658568	
240.000000	0.688418	0.622686	0.659316	0.652074	0.481270	0.620753	0.652074	0.658568	
250.000000	0.683171	0.618106	0.675262	0.635823	0.551481	0.632768	0.635823	0.658568	
260.000000	0.694183	0.661245	0.638160	0.670655	0.527531	0.638355	0.661245	0.658568	
270.000000	0.677032	0.639493	0.668099	0.659399	0.522779	0.633360	0.659399	0.658568	
280.000000	0.617259	0.634910	0.607512	0.669764	0.509075	0.607704	0.617259	0.658568	
290.000000	0.672876	0.647743	0.535751	0.621031	0.478970	0.591274	0.621031	0.658568	
300.000000	0.637433	0.649854	0.598542	0.608062	0.507323	0.600243	0.608062	0.658568	
