Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.490215	0.526785	0.520481	0.512138	0.495606	0.494921	0.506691	0.503872	0.506691	
10.000000	0.494682	0.522399	0.532334	0.509117	0.516079	0.512785	0.514566	0.514432	0.514566	
20.000000	0.483556	0.511028	0.536831	0.532582	0.565552	0.501542	0.521848	0.521805	0.521848	
30.000000	0.581006	0.545223	0.551990	0.588949	0.675994	0.515486	0.576441	0.566498	0.576441	
40.000000	0.607010	0.548669	0.565996	0.623536	0.723016	0.562317	0.605091	0.586503	0.605091	
50.000000	0.606278	0.552156	0.573433	0.618702	0.720009	0.554329	0.604151	0.589855	0.605091	
60.000000	0.633888	0.537973	0.577029	0.624783	0.748651	0.578062	0.616731	0.601423	0.616731	
70.000000	0.620739	0.542446	0.573793	0.587085	0.747556	0.576781	0.608067	0.581933	0.616731	
80.000000	0.643369	0.540639	0.581855	0.568470	0.767214	0.577618	0.613194	0.579736	0.616731	
90.000000	0.650285	0.538971	0.574576	0.619371	0.743700	0.586655	0.618926	0.603013	0.618926	
100.000000	0.651254	0.550408	0.599745	0.639128	0.731634	0.587806	0.626663	0.619437	0.626663	
110.000000	0.648772	0.545077	0.604101	0.642945	0.778915	0.573113	0.632154	0.623523	0.632154	
120.000000	0.646763	0.562663	0.594891	0.648474	0.687694	0.596118	0.622767	0.621440	0.632154	
130.000000	0.608681	0.471254	0.552522	0.592554	0.730716	0.517164	0.578815	0.572538	0.632154	
140.000000	0.641360	0.570331	0.607804	0.654684	0.700143	0.589061	0.627231	0.624582	0.632154	
150.000000	0.632873	0.577118	0.604244	0.658661	0.767107	0.613444	0.642241	0.623158	0.642241	
160.000000	0.645343	0.578510	0.598719	0.647629	0.770476	0.603942	0.640770	0.624642	0.642241	
170.000000	0.645704	0.581454	0.597786	0.643631	0.775650	0.600086	0.640718	0.621858	0.642241	
180.000000	0.642988	0.581891	0.588197	0.663716	0.774603	0.593334	0.640788	0.618161	0.642241	
190.000000	0.643489	0.563450	0.611866	0.660958	0.781507	0.615163	0.646072	0.629326	0.646072	
200.000000	0.660730	0.609302	0.614021	0.646891	0.790219	0.604608	0.654295	0.630456	0.654295	
210.000000	0.663111	0.552255	0.621331	0.662163	0.784828	0.613009	0.649450	0.641747	0.654295	
220.000000	0.667127	0.572980	0.630237	0.664895	0.783432	0.608031	0.654450	0.647566	0.654450	
230.000000	0.656381	0.581188	0.631468	0.666486	0.780909	0.606662	0.653849	0.643924	0.654450	
240.000000	0.663393	0.594289	0.628208	0.663350	0.782853	0.604021	0.656019	0.645779	0.656019	
250.000000	0.669301	0.613963	0.630319	0.653868	0.785803	0.618144	0.661900	0.642093	0.661900	
260.000000	0.657160	0.603376	0.626873	0.663703	0.782494	0.613433	0.657840	0.642016	0.661900	
270.000000	0.673396	0.578965	0.631363	0.672945	0.789867	0.615710	0.660374	0.652154	0.661900	
280.000000	0.682750	0.576077	0.628692	0.676971	0.784205	0.621195	0.661648	0.652831	0.661900	
290.000000	0.668130	0.588112	0.630765	0.678353	0.791704	0.616790	0.662309	0.649448	0.662309	
300.000000	0.673926	0.590111	0.633669	0.676118	0.791698	0.625445	0.665161	0.653798	0.665161	
310.000000	0.677218	0.579839	0.635825	0.678966	0.800253	0.621878	0.665663	0.656521	0.665663	
320.000000	0.669519	0.580980	0.625069	0.667775	0.784256	0.621019	0.658103	0.646422	0.665663	
330.000000	0.671606	0.583168	0.624187	0.669112	0.785810	0.622090	0.659329	0.646649	0.665663	
340.000000	0.675099	0.585158	0.615265	0.638305	0.784092	0.628347	0.654377	0.633326	0.665663	
350.000000	0.682832	0.573362	0.623011	0.651274	0.778003	0.621324	0.654967	0.637142	0.665663	
360.000000	0.667795	0.594735	0.617370	0.659808	0.788118	0.621435	0.658210	0.640622	0.665663	
370.000000	0.675929	0.589649	0.618363	0.662744	0.786231	0.618310	0.658537	0.640553	0.665663	
380.000000	0.671057	0.603729	0.616512	0.662568	0.785942	0.618219	0.659671	0.640393	0.665663	
390.000000	0.670575	0.613771	0.610395	0.659910	0.772071	0.616850	0.657262	0.638380	0.665663	
400.000000	0.678001	0.587755	0.619338	0.665242	0.790119	0.615807	0.659377	0.642290	0.665663	
410.000000	0.667018	0.593886	0.616486	0.669927	0.772366	0.618050	0.656289	0.642534	0.665663	
420.000000	0.670833	0.600345	0.612533	0.665899	0.782406	0.614852	0.657811	0.640375	0.665663	
430.000000	0.676038	0.579071	0.622104	0.665159	0.788219	0.611931	0.657087	0.643631	0.665663	
440.000000	0.676454	0.578705	0.626879	0.677465	0.793428	0.617568	0.661750	0.651666	0.665663	
450.000000	0.677578	0.579213	0.619132	0.666877	0.794881	0.612264	0.658324	0.643004	0.665663	
460.000000	0.671548	0.586199	0.628201	0.670377	0.788162	0.608873	0.658893	0.649289	0.665663	
470.000000	0.676886	0.587674	0.621896	0.655725	0.786621	0.615123	0.657321	0.638810	0.665663	
480.000000	0.673207	0.571955	0.622009	0.674356	0.790999	0.612050	0.657429	0.647608	0.665663	
490.000000	0.683129	0.576752	0.619813	0.677747	0.806921	0.612363	0.662788	0.648780	0.665663	
500.000000	0.674859	0.583949	0.622085	0.666604	0.773433	0.599473	0.653400	0.644345	0.665663	
510.000000	0.673163	0.568025	0.616284	0.670479	0.787974	0.602422	0.653058	0.643381	0.665663	
520.000000	0.668725	0.575184	0.622690	0.669253	0.784740	0.603725	0.654053	0.645708	0.665663	
530.000000	0.677220	0.571446	0.623849	0.660449	0.788766	0.606274	0.654667	0.642149	0.665663	
540.000000	0.685964	0.568657	0.622477	0.671131	0.795390	0.616378	0.660000	0.646804	0.665663	
550.000000	0.687460	0.590978	0.639007	0.679475	0.796076	0.620168	0.668861	0.659241	0.668861	
560.000000	0.669201	0.595268	0.640711	0.681540	0.777210	0.618821	0.663792	0.654956	0.668861	
570.000000	0.691305	0.593904	0.631999	0.683310	0.792012	0.626989	0.669920	0.657654	0.669920	
580.000000	0.691849	0.584141	0.641701	0.675038	0.781884	0.628376	0.667165	0.658370	0.669920	
590.000000	0.699420	0.577788	0.635629	0.675154	0.795667	0.626777	0.668406	0.655391	0.669920	
600.000000	0.688627	0.610145	0.633018	0.684106	0.783539	0.626660	0.671016	0.658562	0.671016	
610.000000	0.693343	0.605062	0.641211	0.685128	0.787860	0.632425	0.674171	0.663169	0.674171	
620.000000	0.690669	0.598107	0.641918	0.681700	0.786778	0.628565	0.671289	0.661809	0.674171	
630.000000	0.696297	0.590166	0.642485	0.685558	0.802065	0.633962	0.675089	0.664022	0.675089	
640.000000	0.695240	0.597382	0.646105	0.686049	0.794296	0.636495	0.675928	0.666077	0.675928	
650.000000	0.690540	0.599117	0.645016	0.687284	0.801511	0.631259	0.675788	0.666150	0.675928	
660.000000	0.690929	0.595565	0.643412	0.684763	0.805380	0.626623	0.674445	0.664087	0.675928	
670.000000	0.700482	0.602929	0.643658	0.688288	0.801127	0.641279	0.679627	0.665973	0.679627	
680.000000	0.694520	0.597936	0.641450	0.685614	0.783237	0.648728	0.675248	0.667171	0.679627	
690.000000	0.709299	0.610269	0.644744	0.682609	0.798479	0.646016	0.681903	0.664313	0.681903	
700.000000	0.681521	0.577149	0.612255	0.683685	0.769989	0.648321	0.662153	0.664921	0.681903	
710.000000	0.706572	0.599272	0.643669	0.682817	0.777204	0.646465	0.676000	0.664641	0.681903	
720.000000	0.707750	0.607238	0.648864	0.683974	0.795698	0.642573	0.681016	0.666419	0.681903	
730.000000	0.689510	0.619331	0.638682	0.678947	0.764069	0.639109	0.671608	0.659028	0.681903	
740.000000	0.678089	0.631456	0.633914	0.671871	0.775172	0.632372	0.670479	0.652893	0.681903	
750.000000	0.702783	0.624972	0.645978	0.693134	0.798171	0.643369	0.684734	0.669556	0.684734	
760.000000	0.699676	0.626088	0.645019	0.683165	0.802071	0.643523	0.683257	0.664092	0.684734	
770.000000	0.703122	0.619381	0.646844	0.682861	0.794415	0.642074	0.681450	0.664852	0.684734	
780.000000	0.702846	0.638008	0.649977	0.690474	0.802989	0.648104	0.688733	0.670226	0.688733	
790.000000	0.692478	0.632658	0.646691	0.694533	0.804279	0.645875	0.686086	0.669585	0.688733	
800.000000	0.690234	0.637624	0.650024	0.700363	0.803140	0.641340	0.687121	0.670129	0.688733	
810.000000	0.689246	0.634438	0.642675	0.693066	0.800995	0.629669	0.681681	0.665960	0.688733	
820.000000	0.685076	0.618668	0.645380	0.691182	0.790760	0.638494	0.678260	0.665228	0.688733	
830.000000	0.676343	0.632491	0.643786	0.688577	0.781003	0.641585	0.677298	0.660065	0.688733	
840.000000	0.700418	0.624892	0.648015	0.697622	0.772310	0.648472	0.681955	0.673047	0.688733	
850.000000	0.705620	0.627080	0.651294	0.699065	0.794447	0.650159	0.687944	0.675180	0.688733	
860.000000	0.691948	0.618634	0.654151	0.700462	0.804807	0.653492	0.687249	0.673050	0.688733	
870.000000	0.710453	0.637413	0.657704	0.700067	0.794283	0.660849	0.693461	0.680458	0.693461	
880.000000	0.695457	0.626528	0.659578	0.702278	0.790760	0.657831	0.688739	0.677518	0.693461	
890.000000	0.694813	0.616096	0.659081	0.693224	0.791842	0.657540	0.685433	0.676153	0.693461	
900.000000	0.703871	0.603122	0.657223	0.697913	0.787049	0.656012	0.684198	0.677568	0.693461	
910.000000	0.710846	0.620602	0.662911	0.697668	0.790697	0.639443	0.687028	0.680290	0.693461	
920.000000	0.710535	0.610727	0.663344	0.700962	0.806191	0.651013	0.690462	0.682153	0.693461	
930.000000	0.703574	0.601913	0.662578	0.697640	0.811079	0.651795	0.688097	0.680109	0.693461	
940.000000	0.708580	0.618705	0.654118	0.697409	0.806103	0.653708	0.689770	0.675763	0.693461	
950.000000	0.708320	0.607579	0.658247	0.701380	0.796963	0.658302	0.688465	0.679841	0.693461	
960.000000	0.709415	0.603779	0.648439	0.690441	0.801366	0.655483	0.684821	0.672962	0.693461	
970.000000	0.715084	0.606946	0.657345	0.698394	0.794063	0.656748	0.688097	0.677870	0.693461	
980.000000	0.713133	0.615711	0.659505	0.700976	0.793132	0.653175	0.689272	0.680240	0.693461	
990.000000	0.715094	0.619759	0.660179	0.701929	0.797007	0.654857	0.691471	0.681054	0.693461	
1000.000000	0.713084	0.608979	0.656783	0.698276	0.799687	0.660787	0.689599	0.679532	0.693461	
1010.000000	0.717555	0.624024	0.649251	0.690423	0.794377	0.660628	0.689376	0.675526	0.693461	
1020.000000	0.722778	0.621482	0.667595	0.704598	0.812425	0.660108	0.698165	0.686097	0.698165	
