Epoch	AUC-454	AUC-455	AUC-456	AUC-457	AUC-458	AUC-459	AUC-460	AUC-461	AUC-462	AUC-463	AUC-464	AUC-465	AUC-466	AUC-467	AUC-468	AUC-469	AUC-470	AUC-471	AUC-472	AUC-473	AUC-476	AUC-478	AUC-479	AUC-484	AUC-485	AUC-486	AUC-487	AUC-488	AUC-489	AUC-490	AUC-491	AUC-492	AUC-493	AUC-494	AUC-495	AUC-496	AUC-497	AUC-498	AUC-499	AUC-500	AUC-501	AUC-502	AUC-503	AUC-504	AUC-505	AUC-506	AUC-507	AUC-508	AUC-509	AUC-510	AUC-511	AUC-512	AUC-513	AUC-514	AUC-515	AUC-516	AUC-517	AUC-518	AUC-519	AUC-520	AUC-521	AUC-522	AUC-523	AUC-524	AUC-525	AUC-526	AUC-527	AUC-528	AUC-529	AUC-530	AUC-531	AUC-532	AUC-533	AUC-534	AUC-535	AUC-536	AUC-537	AUC-538	AUC-539	AUC-540	AUC-541	AUC-542	AUC-543	AUC-544	AUC-545	AUC-546	AUC-547	AUC-548	AUC-549	AUC-550	AUC-551	AUC-552	AUC-553	AUC-554	AUC-555	AUC-556	AUC-557	AUC-558	AUC-559	AUC-560	AUC-561	AUC-562	AUC-563	AUC-564	AUC-565	AUC-566	AUC-567	AUC-568	AUC-569	AUC-570	AUC-571	AUC-572	AUC-573	AUC-574	AUC-575	AUC-576	AUC-577	AUC-578	AUC-579	AUC-580	AUC-581	AUC-582	AUC-583	AUC-584	AUC-585	AUC-586	AUC-587	AUC-588	AUC-589	AUC-590	AUC-591	AUC-592	AUC-593	AUC-594	AUC-595	AUC-596	AUC-597	AUC-598	AUC-599	AUC-600	AUC-601	AUC-602	AUC-603	AUC-604	AUC-605	AUC-606	AUC-607	AUC-608	AUC-609	AUC-610	AUC-611	AUC-612	AUC-613	AUC-614	AUC-615	AUC-616	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.526380	0.552167	0.552827	0.526992	0.598592	0.512691	0.554120	0.539198	0.568990	0.409374	0.533070	0.651234	0.509317	0.554856	0.520828	0.516413	0.464535	0.594921	0.547173	0.510145	0.616594	0.597690	0.575606	0.512571	0.586969	0.599202	0.550308	0.564844	0.610192	0.469172	0.577669	0.543494	0.543980	0.537677	0.568901	0.572266	0.523276	0.543474	0.597348	0.515801	0.520678	0.497690	0.607775	0.409424	0.477117	0.442867	0.565855	0.544286	0.554551	0.450474	0.546497	0.567162	0.571670	0.601447	0.428656	0.479343	0.448044	0.579448	0.455706	0.605963	0.483826	0.584339	0.477350	0.576174	0.473918	0.576255	0.531911	0.570954	0.479116	0.562788	0.642908	0.470980	0.553358	0.588391	0.490527	0.575078	0.507763	0.477752	0.568841	0.593082	0.587583	0.412092	0.500227	0.573739	0.493517	0.586600	0.567411	0.491805	0.503094	0.612030	0.643172	0.621668	0.598928	0.629557	0.590966	0.569696	0.484007	0.577346	0.476719	0.534768	0.438377	0.542793	0.573551	0.534648	0.677850	0.428847	0.453812	0.484049	0.531331	0.615528	0.526371	0.545967	0.536363	0.495453	0.376486	0.608099	0.545039	0.598788	0.579015	0.503855	0.526285	0.560940	0.534347	0.507790	0.526768	0.510831	0.582515	0.495050	0.491228	0.530199	0.586311	0.494914	0.502185	0.561031	0.564720	0.515144	0.488076	0.507696	0.540976	0.530910	0.430933	0.524385	0.537395	0.496506	0.521431	0.477201	0.459421	0.498197	0.483571	0.457360	0.559856	0.455233	0.534383	0.507526	0.511479	0.523893	0.533838	0.534708	0.533838	
50.000000	0.588035	0.613146	0.540637	0.669208	0.629067	0.643322	0.620624	0.601882	0.569952	0.556901	0.657439	0.609167	0.569562	0.597482	0.642175	0.691613	0.695305	0.538589	0.595902	0.691304	0.655236	0.598554	0.710168	0.469284	0.730378	0.755937	0.678333	0.630889	0.658345	0.632598	0.665121	0.616615	0.688272	0.663648	0.730320	0.584745	0.727524	0.617583	0.823034	0.677397	0.672065	0.418912	0.871413	0.632541	0.687434	0.641229	0.814170	0.775253	0.784640	0.548025	0.803650	0.811230	0.613119	0.788859	0.596938	0.636445	0.627416	0.748291	0.600083	0.751092	0.649915	0.782140	0.616838	0.676654	0.735748	0.821915	0.778323	0.839133	0.520153	0.807566	0.866591	0.631423	0.760027	0.808488	0.741984	0.799814	0.726627	0.772557	0.795786	0.825788	0.830371	0.641155	0.766831	0.800009	0.748474	0.821126	0.819161	0.665808	0.752723	0.802665	0.786337	0.727570	0.789970	0.835209	0.730970	0.812337	0.764425	0.828204	0.564817	0.464409	0.665589	0.764546	0.764943	0.859925	0.877615	0.634982	0.688302	0.636087	0.781078	0.823830	0.510579	0.812307	0.792291	0.781404	0.611538	0.692188	0.799388	0.835323	0.813921	0.710036	0.774608	0.796297	0.725564	0.686760	0.727382	0.597946	0.724121	0.688266	0.726178	0.765574	0.771181	0.681376	0.742046	0.755141	0.786051	0.685902	0.746298	0.781239	0.627313	0.688521	0.617875	0.630633	0.632895	0.622684	0.637065	0.707040	0.636294	0.617195	0.657488	0.629407	0.643754	0.667635	0.631382	0.638093	0.659187	0.626824	0.698444	0.688412	0.698444	
100.000000	0.597515	0.656035	0.595429	0.725898	0.650541	0.688993	0.635916	0.644187	0.603846	0.587945	0.670546	0.631107	0.590892	0.645258	0.628426	0.688601	0.717616	0.556775	0.625846	0.695318	0.615590	0.576425	0.714366	0.481426	0.749011	0.768075	0.737071	0.696623	0.741255	0.676408	0.727171	0.666931	0.723898	0.708320	0.751550	0.606452	0.739487	0.636371	0.809127	0.705096	0.681838	0.447683	0.844255	0.641356	0.667012	0.713538	0.778828	0.783689	0.768865	0.562753	0.790678	0.818955	0.637251	0.791030	0.631092	0.621587	0.617929	0.751046	0.594561	0.769445	0.646461	0.800377	0.661126	0.715869	0.753091	0.787847	0.777150	0.820804	0.534117	0.790814	0.878679	0.646377	0.778779	0.810165	0.754043	0.790035	0.731747	0.760928	0.796081	0.820300	0.834909	0.582794	0.743710	0.791684	0.765459	0.780973	0.799869	0.685421	0.764695	0.780517	0.808790	0.706263	0.799995	0.834399	0.735656	0.801242	0.763855	0.811982	0.584769	0.405829	0.676464	0.754485	0.730098	0.800055	0.871105	0.646093	0.700967	0.643920	0.776494	0.805275	0.575748	0.813333	0.783434	0.775166	0.662261	0.725167	0.769614	0.817580	0.814637	0.699937	0.775202	0.796245	0.727111	0.680058	0.717976	0.603303	0.712976	0.671050	0.705580	0.745770	0.768113	0.647691	0.713547	0.744629	0.789947	0.653078	0.730252	0.788725	0.660454	0.713801	0.655206	0.666821	0.670263	0.653874	0.658438	0.718666	0.659169	0.626353	0.667946	0.668462	0.662376	0.713671	0.690953	0.669543	0.673647	0.637337	0.707041	0.713609	0.707041	
150.000000	0.543156	0.639098	0.594682	0.697000	0.642846	0.724089	0.649248	0.637757	0.595433	0.596939	0.680866	0.634128	0.588886	0.637366	0.641565	0.719621	0.673660	0.527833	0.637431	0.708083	0.604215	0.606110	0.708955	0.497587	0.777234	0.784698	0.687077	0.662354	0.667170	0.655263	0.665990	0.641688	0.713386	0.689941	0.754223	0.622477	0.744643	0.608393	0.818225	0.697623	0.682238	0.460542	0.827500	0.689871	0.738786	0.692996	0.792156	0.789092	0.776979	0.633229	0.804224	0.800364	0.581038	0.791073	0.607527	0.616163	0.619779	0.754499	0.585797	0.780401	0.639932	0.786632	0.641936	0.702400	0.749023	0.754947	0.786885	0.825951	0.516983	0.799581	0.772182	0.648441	0.756740	0.793529	0.755873	0.797976	0.740754	0.779486	0.749446	0.825650	0.828427	0.636561	0.781015	0.807912	0.774713	0.806477	0.814337	0.639330	0.754633	0.774645	0.772878	0.765992	0.788866	0.818758	0.710043	0.794244	0.760637	0.831780	0.582192	0.405778	0.656889	0.760731	0.757628	0.826596	0.851211	0.653074	0.690657	0.646295	0.734957	0.812607	0.580730	0.805852	0.782924	0.801889	0.619103	0.695603	0.797213	0.838887	0.801530	0.709371	0.778752	0.788217	0.723048	0.663170	0.724354	0.593907	0.720313	0.670932	0.711469	0.782571	0.768121	0.686309	0.726239	0.756679	0.792522	0.681007	0.738338	0.795075	0.668366	0.701235	0.636886	0.626573	0.648895	0.654499	0.661345	0.675634	0.646231	0.649082	0.669596	0.626681	0.675007	0.687834	0.666706	0.684147	0.687430	0.649349	0.704583	0.701818	0.707041	
200.000000	0.553346	0.640755	0.594842	0.714338	0.643852	0.719546	0.668394	0.646332	0.666587	0.619768	0.689190	0.668480	0.591060	0.682251	0.664925	0.782262	0.723610	0.588822	0.627514	0.773913	0.663433	0.605246	0.694683	0.505825	0.770648	0.772154	0.678514	0.639799	0.610686	0.626691	0.656111	0.632611	0.719818	0.692956	0.712454	0.613391	0.716991	0.607613	0.819160	0.686240	0.671908	0.438846	0.896476	0.667562	0.729413	0.659436	0.793564	0.753678	0.771064	0.648840	0.792472	0.788414	0.581501	0.768670	0.585381	0.561913	0.567132	0.757095	0.553101	0.768376	0.629001	0.815939	0.637393	0.702361	0.730556	0.787656	0.771339	0.831575	0.506142	0.787416	0.899339	0.613867	0.743921	0.813336	0.712472	0.812213	0.719798	0.789962	0.763184	0.815710	0.837494	0.630075	0.776868	0.807932	0.745735	0.808316	0.780925	0.646283	0.757535	0.814157	0.749238	0.775050	0.758124	0.823641	0.686607	0.776843	0.768642	0.815777	0.561346	0.490905	0.657181	0.791693	0.736358	0.847815	0.904823	0.637921	0.692555	0.638282	0.760207	0.821783	0.541003	0.803875	0.782577	0.770078	0.607137	0.711752	0.785677	0.817484	0.815850	0.655631	0.753291	0.811701	0.730046	0.655271	0.700403	0.597288	0.720058	0.640547	0.692273	0.773173	0.751766	0.628908	0.708234	0.744281	0.796976	0.631915	0.718927	0.789788	0.651195	0.686824	0.632942	0.682643	0.598368	0.645434	0.674915	0.697634	0.632220	0.653485	0.670375	0.672126	0.666827	0.685662	0.641087	0.664125	0.677330	0.646254	0.702810	0.696158	0.707041	
250.000000	0.578448	0.639259	0.614780	0.689006	0.650742	0.720642	0.666182	0.654903	0.636058	0.638360	0.693898	0.673174	0.600591	0.650259	0.643080	0.735281	0.704629	0.558771	0.636932	0.730713	0.643024	0.614745	0.725466	0.503054	0.762241	0.775201	0.717055	0.686366	0.704468	0.672641	0.710535	0.668675	0.733227	0.703843	0.744382	0.634879	0.736144	0.619839	0.836522	0.695605	0.688189	0.453474	0.869807	0.663786	0.720062	0.697990	0.818033	0.776510	0.788850	0.603451	0.802634	0.817728	0.632439	0.792018	0.639187	0.636714	0.599140	0.771985	0.595962	0.813792	0.663676	0.816236	0.650182	0.706547	0.755753	0.823075	0.790432	0.840198	0.534792	0.793353	0.882974	0.646784	0.772721	0.830396	0.750979	0.827779	0.748842	0.798712	0.795393	0.841272	0.850382	0.622326	0.764616	0.816496	0.761164	0.809763	0.839888	0.680058	0.779264	0.813406	0.800540	0.749545	0.809605	0.841369	0.706418	0.812959	0.770010	0.829387	0.581021	0.480448	0.669127	0.800232	0.765807	0.838727	0.895277	0.666129	0.711517	0.642805	0.784937	0.846620	0.574878	0.816830	0.792964	0.807828	0.646058	0.704453	0.805271	0.849164	0.819414	0.696628	0.767429	0.811511	0.739392	0.661074	0.732826	0.607354	0.728807	0.651772	0.716782	0.773998	0.779461	0.637562	0.726507	0.768913	0.809027	0.650401	0.740126	0.804548	0.673660	0.715155	0.659538	0.683021	0.694000	0.687567	0.689076	0.717618	0.651925	0.667316	0.666370	0.677577	0.695330	0.732156	0.677993	0.690409	0.687664	0.668385	0.718917	0.715968	0.718917	
300.000000	0.551039	0.613146	0.608615	0.678308	0.598793	0.689072	0.671237	0.630100	0.557933	0.577568	0.656460	0.620648	0.573936	0.624473	0.650859	0.749134	0.672661	0.500776	0.626085	0.697436	0.655236	0.615393	0.723601	0.486431	0.788800	0.799045	0.752360	0.700609	0.728868	0.695296	0.737513	0.679625	0.747654	0.716307	0.764432	0.638033	0.735976	0.593683	0.829049	0.711709	0.698363	0.446497	0.876466	0.684923	0.726589	0.689756	0.812873	0.790942	0.795545	0.616858	0.802912	0.806201	0.615235	0.792121	0.609249	0.618007	0.597772	0.719533	0.586175	0.687951	0.684410	0.820687	0.664705	0.720601	0.754499	0.816236	0.792381	0.829974	0.545931	0.794457	0.867248	0.669237	0.780037	0.822558	0.755177	0.811878	0.745193	0.783574	0.800243	0.840975	0.843590	0.645246	0.783224	0.817037	0.778836	0.817360	0.832038	0.697834	0.767391	0.787865	0.798743	0.699529	0.812575	0.838214	0.716020	0.809607	0.777221	0.837841	0.588663	0.548897	0.660332	0.766020	0.765277	0.855151	0.817286	0.675991	0.707416	0.666941	0.778790	0.833327	0.548099	0.815997	0.809881	0.813461	0.635028	0.720066	0.810707	0.842750	0.826516	0.691984	0.781400	0.800472	0.733962	0.679170	0.736103	0.609798	0.721462	0.684556	0.711981	0.771618	0.769963	0.640522	0.723461	0.761260	0.797373	0.671539	0.741274	0.795401	0.692239	0.728769	0.683655	0.702483	0.712211	0.696672	0.697053	0.724927	0.690145	0.679190	0.715547	0.696680	0.693009	0.755730	0.705494	0.711149	0.715269	0.682634	0.717787	0.717920	0.718917	
350.000000	0.561300	0.613146	0.594615	0.677693	0.634901	0.686173	0.679894	0.646739	0.513462	0.622190	0.664444	0.649235	0.597439	0.628449	0.646156	0.770215	0.690976	0.561544	0.634305	0.722129	0.653061	0.617660	0.722388	0.488174	0.779258	0.773869	0.745177	0.685829	0.704523	0.677853	0.718038	0.672550	0.734619	0.712857	0.753194	0.641048	0.741804	0.616803	0.840229	0.707831	0.693785	0.432375	0.909843	0.657424	0.725963	0.701158	0.818885	0.787674	0.790862	0.607699	0.808029	0.815920	0.638543	0.795527	0.614490	0.628994	0.596650	0.747477	0.611665	0.742930	0.681876	0.819352	0.646780	0.705314	0.752155	0.806507	0.790285	0.845033	0.532408	0.776965	0.895869	0.654286	0.785673	0.839975	0.755608	0.813425	0.747024	0.803437	0.806347	0.841702	0.856380	0.617537	0.796019	0.823291	0.768082	0.807008	0.842852	0.687510	0.782632	0.815827	0.801808	0.746257	0.810556	0.849681	0.710481	0.823837	0.773987	0.840877	0.563280	0.526551	0.673393	0.802466	0.758564	0.843532	0.909926	0.667368	0.722437	0.662206	0.765337	0.861667	0.524645	0.823153	0.806119	0.799629	0.650863	0.726090	0.794886	0.851197	0.829148	0.692541	0.769740	0.820226	0.736398	0.675003	0.736518	0.603068	0.737396	0.679151	0.723937	0.765589	0.775570	0.660386	0.734389	0.757509	0.809628	0.658609	0.746271	0.808727	0.674393	0.715418	0.670004	0.696907	0.682526	0.684571	0.693099	0.714962	0.670273	0.662764	0.694407	0.691429	0.698270	0.742177	0.677695	0.700599	0.696332	0.657697	0.719480	0.720084	0.719480	
400.000000	0.568862	0.638006	0.606894	0.690359	0.636862	0.692675	0.699229	0.650623	0.500962	0.643203	0.656610	0.648538	0.603333	0.626220	0.657123	0.780304	0.651682	0.533267	0.651661	0.735006	0.670291	0.598661	0.739272	0.491757	0.766834	0.766975	0.749628	0.698788	0.715516	0.705094	0.717352	0.699469	0.738344	0.718082	0.761052	0.649935	0.735452	0.619522	0.823721	0.680771	0.689145	0.443770	0.889960	0.667097	0.723471	0.687370	0.806709	0.788706	0.786141	0.606339	0.803847	0.806552	0.625791	0.786431	0.615764	0.639257	0.599467	0.751442	0.620018	0.733946	0.672335	0.800090	0.660605	0.721292	0.762071	0.815867	0.788096	0.851328	0.550109	0.791443	0.872262	0.654441	0.769243	0.794618	0.710333	0.810531	0.737412	0.802504	0.796576	0.811002	0.861303	0.592235	0.787898	0.808642	0.755453	0.780247	0.837264	0.671734	0.774407	0.799332	0.791571	0.747791	0.812490	0.842080	0.707586	0.814224	0.770406	0.834351	0.579309	0.529451	0.678644	0.801134	0.735220	0.843724	0.892847	0.675322	0.730576	0.690800	0.757935	0.859165	0.568239	0.809794	0.802141	0.779549	0.657241	0.720341	0.817293	0.848827	0.824375	0.650164	0.774129	0.817761	0.732694	0.651869	0.715022	0.597758	0.729071	0.666410	0.718754	0.773516	0.763720	0.666869	0.722401	0.763154	0.798362	0.635573	0.738134	0.806651	0.697787	0.720265	0.664813	0.685188	0.667526	0.680032	0.685626	0.717653	0.658466	0.660095	0.699896	0.713995	0.708951	0.726400	0.682413	0.725035	0.697022	0.679845	0.717598	0.719509	0.719480	
450.000000	0.560447	0.623858	0.611479	0.714092	0.638320	0.707090	0.679515	0.646976	0.499038	0.572639	0.642411	0.649561	0.592141	0.654356	0.616689	0.732872	0.654346	0.460745	0.640148	0.714660	0.654232	0.632340	0.734235	0.491813	0.770533	0.768560	0.747969	0.678021	0.711623	0.674373	0.725006	0.676511	0.724690	0.700173	0.743265	0.642115	0.724145	0.622026	0.823691	0.694997	0.675560	0.456488	0.639213	0.648832	0.699448	0.623513	0.793205	0.779582	0.778329	0.585641	0.786408	0.796416	0.613081	0.784351	0.598090	0.593320	0.598231	0.687542	0.638113	0.739228	0.679161	0.809561	0.640309	0.695702	0.754814	0.810027	0.779990	0.777951	0.537148	0.785291	0.893284	0.619296	0.740510	0.825940	0.754807	0.775872	0.722482	0.793862	0.791105	0.838768	0.847443	0.616592	0.774890	0.796750	0.752644	0.787358	0.848575	0.684643	0.775342	0.796508	0.788058	0.717746	0.800306	0.825874	0.684824	0.818621	0.774635	0.824432	0.570691	0.479559	0.635226	0.763122	0.737596	0.768097	0.918185	0.649506	0.709890	0.688281	0.734578	0.838525	0.558250	0.808801	0.786116	0.783682	0.614212	0.678490	0.736537	0.849317	0.820744	0.653033	0.768117	0.814536	0.730537	0.606456	0.725583	0.597726	0.728887	0.644707	0.702011	0.772185	0.757936	0.626637	0.729456	0.753238	0.779931	0.639928	0.700369	0.801108	0.690715	0.713519	0.651819	0.712034	0.690158	0.683773	0.691810	0.734431	0.672774	0.685957	0.688900	0.701953	0.693219	0.724542	0.668319	0.727152	0.687443	0.658311	0.706064	0.710756	0.719480	
