Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.479813	0.487993	0.442379	0.453246	0.440185	0.484091	0.464618	0.466530	0.464618	
10.000000	0.504726	0.462783	0.449446	0.475966	0.472148	0.497677	0.477124	0.474057	0.477124	
20.000000	0.516037	0.493219	0.490670	0.491166	0.590601	0.505575	0.514545	0.499397	0.514545	
30.000000	0.560278	0.514356	0.520720	0.577101	0.617321	0.532957	0.553789	0.546618	0.553789	
40.000000	0.574100	0.553535	0.539880	0.600745	0.703279	0.534924	0.584411	0.563818	0.584411	
50.000000	0.573472	0.543416	0.565879	0.595907	0.693353	0.555075	0.587850	0.569675	0.587850	
60.000000	0.586298	0.557567	0.570916	0.612016	0.706953	0.538073	0.595304	0.578607	0.595304	
70.000000	0.573927	0.570746	0.565697	0.605591	0.707699	0.541187	0.594141	0.572337	0.595304	
80.000000	0.611948	0.548046	0.585350	0.608377	0.741662	0.564109	0.609915	0.596864	0.609915	
90.000000	0.602620	0.541835	0.577948	0.610925	0.732833	0.559315	0.604246	0.590284	0.609915	
100.000000	0.610601	0.540521	0.570943	0.608326	0.734978	0.561013	0.604397	0.589635	0.609915	
110.000000	0.633334	0.533132	0.568143	0.602441	0.729867	0.565090	0.605335	0.585292	0.609915	
120.000000	0.635161	0.549301	0.577325	0.613129	0.743823	0.562760	0.613583	0.595227	0.613583	
130.000000	0.632174	0.556266	0.587941	0.617815	0.746443	0.572928	0.618928	0.602878	0.618928	
140.000000	0.645581	0.556185	0.589458	0.620468	0.758200	0.574655	0.624091	0.604963	0.624091	
150.000000	0.650923	0.578714	0.593246	0.618007	0.764981	0.572853	0.629787	0.605626	0.629787	
160.000000	0.645322	0.561683	0.596793	0.619802	0.759923	0.595853	0.629896	0.608297	0.629896	
170.000000	0.653708	0.545288	0.594889	0.624405	0.753689	0.590833	0.627135	0.609647	0.629896	
180.000000	0.658591	0.566586	0.604035	0.627160	0.754470	0.604204	0.635841	0.615682	0.635841	
190.000000	0.662356	0.580546	0.601348	0.639387	0.761861	0.601268	0.641128	0.620368	0.641128	
200.000000	0.668613	0.577261	0.617069	0.635191	0.752853	0.611739	0.643788	0.626130	0.643788	
210.000000	0.654766	0.568992	0.604201	0.643951	0.754564	0.602418	0.638149	0.624076	0.643788	
220.000000	0.657640	0.572853	0.605260	0.647959	0.778059	0.599839	0.643602	0.626610	0.643788	
230.000000	0.660698	0.569128	0.600559	0.644763	0.768410	0.596947	0.640084	0.622661	0.643788	
240.000000	0.642231	0.567640	0.606278	0.637666	0.764421	0.595088	0.635554	0.621972	0.643788	
