Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.510825	0.413726	0.498524	0.492579	0.429199	0.512627	0.476247	0.495552	0.476247	
10.000000	0.502003	0.453801	0.515725	0.469784	0.511572	0.495978	0.491477	0.498990	0.491477	
20.000000	0.576855	0.468303	0.514939	0.481747	0.524788	0.531216	0.516308	0.519864	0.516308	
30.000000	0.541163	0.484243	0.512485	0.498607	0.569543	0.505072	0.518519	0.508778	0.518519	
40.000000	0.565983	0.543400	0.560128	0.611122	0.671033	0.546618	0.583047	0.563056	0.583047	
50.000000	0.567206	0.472599	0.556811	0.596886	0.633384	0.544030	0.561819	0.562008	0.583047	
60.000000	0.585992	0.521640	0.572686	0.595976	0.681400	0.547700	0.584232	0.579339	0.584232	
70.000000	0.597874	0.527188	0.572124	0.615187	0.685634	0.573907	0.595319	0.585890	0.595319	
80.000000	0.626048	0.536789	0.574744	0.628555	0.722783	0.576432	0.610892	0.601240	0.610892	
90.000000	0.624063	0.531533	0.588058	0.635920	0.729816	0.573342	0.613789	0.606060	0.613789	
100.000000	0.633686	0.547147	0.580850	0.632687	0.761729	0.580709	0.622801	0.606769	0.622801	
110.000000	0.639475	0.547488	0.583334	0.611266	0.734704	0.582334	0.616434	0.597300	0.622801	
120.000000	0.635496	0.571347	0.582641	0.633075	0.760307	0.578607	0.626912	0.607858	0.626912	
130.000000	0.633338	0.569667	0.586040	0.637472	0.773077	0.582348	0.630324	0.609689	0.630324	
140.000000	0.638545	0.575358	0.595057	0.650035	0.780129	0.585381	0.637417	0.616801	0.637417	
150.000000	0.641542	0.579142	0.604865	0.663550	0.786674	0.593537	0.644885	0.623203	0.644885	
160.000000	0.651265	0.588232	0.599040	0.661205	0.795019	0.603619	0.649730	0.627442	0.649730	
170.000000	0.655383	0.572543	0.605462	0.653921	0.788993	0.610410	0.647785	0.632166	0.649730	
180.000000	0.659653	0.558547	0.604169	0.642626	0.790968	0.608247	0.644035	0.625437	0.649730	
190.000000	0.653550	0.558069	0.609111	0.654893	0.802681	0.614173	0.648746	0.633861	0.649730	
200.000000	0.671192	0.565006	0.611709	0.643383	0.715361	0.617684	0.637389	0.630534	0.649730	
210.000000	0.663186	0.573579	0.607310	0.631865	0.769278	0.606817	0.642006	0.619588	0.649730	
220.000000	0.664654	0.564101	0.613746	0.620387	0.776374	0.613668	0.642155	0.617066	0.649730	
230.000000	0.674380	0.573349	0.609282	0.628388	0.785495	0.617293	0.648031	0.622841	0.649730	
240.000000	0.668684	0.549583	0.604227	0.622448	0.792918	0.615288	0.642191	0.618868	0.649730	
250.000000	0.670261	0.564373	0.604901	0.633031	0.770523	0.620380	0.643912	0.626706	0.649730	
260.000000	0.672929	0.550544	0.618468	0.646827	0.799259	0.620649	0.651446	0.633738	0.651446	
270.000000	0.669404	0.565176	0.615292	0.657530	0.800410	0.616086	0.653983	0.636808	0.653983	
280.000000	0.666847	0.556259	0.614283	0.663436	0.806084	0.617359	0.654045	0.640398	0.654045	
290.000000	0.670748	0.550110	0.609106	0.652096	0.793818	0.626627	0.650418	0.639361	0.654045	
300.000000	0.668944	0.550141	0.614247	0.653923	0.792767	0.617472	0.649583	0.635698	0.654045	
310.000000	0.652517	0.567972	0.624222	0.653051	0.794289	0.614034	0.651014	0.638369	0.654045	
320.000000	0.669120	0.555435	0.635419	0.667830	0.808953	0.613690	0.658408	0.651625	0.658408	
330.000000	0.667270	0.549441	0.629978	0.662966	0.804776	0.612566	0.654499	0.646472	0.658408	
340.000000	0.674582	0.537502	0.627146	0.662804	0.798756	0.613774	0.652427	0.644975	0.658408	
350.000000	0.676495	0.539848	0.635268	0.670372	0.799165	0.615146	0.656049	0.652820	0.658408	
360.000000	0.665215	0.561547	0.626874	0.662332	0.795365	0.612211	0.653924	0.644603	0.658408	
370.000000	0.672534	0.535822	0.631079	0.660391	0.800586	0.620717	0.653522	0.645735	0.658408	
380.000000	0.671273	0.548691	0.625232	0.660657	0.796699	0.618419	0.653495	0.642945	0.658408	
390.000000	0.676966	0.563035	0.621391	0.650835	0.791113	0.623221	0.654427	0.637028	0.658408	
400.000000	0.684411	0.550885	0.624339	0.658394	0.796170	0.621281	0.655913	0.641366	0.658408	
410.000000	0.686416	0.556352	0.623297	0.662926	0.796689	0.628333	0.659003	0.645630	0.659003	
420.000000	0.648645	0.567752	0.630855	0.647671	0.750355	0.618088	0.643894	0.639263	0.659003	
430.000000	0.667598	0.564008	0.635785	0.664289	0.755010	0.627108	0.652300	0.650037	0.659003	
440.000000	0.686815	0.548220	0.637973	0.647770	0.787219	0.633450	0.656908	0.642872	0.659003	
450.000000	0.692550	0.554059	0.636702	0.661816	0.794365	0.633664	0.662193	0.649259	0.662193	
460.000000	0.695700	0.557914	0.630654	0.658483	0.804386	0.628190	0.662555	0.644568	0.662555	
470.000000	0.693611	0.556142	0.637699	0.658381	0.710680	0.639868	0.649397	0.649124	0.662555	
480.000000	0.695912	0.567622	0.564364	0.561503	0.499667	0.481989	0.561843	0.562933	0.662555	
490.000000	0.687707	0.573802	0.633019	0.669838	0.797271	0.639720	0.666893	0.654779	0.666893	
500.000000	0.683709	0.571031	0.636782	0.679542	0.795321	0.638640	0.667504	0.659091	0.667504	
510.000000	0.675359	0.561411	0.641500	0.676451	0.797818	0.623686	0.662704	0.658429	0.667504	
520.000000	0.690628	0.570727	0.642237	0.666359	0.796623	0.637100	0.667279	0.654298	0.667504	
530.000000	0.671403	0.566283	0.632849	0.665630	0.788886	0.620320	0.657562	0.649240	0.667504	
540.000000	0.684157	0.557264	0.634125	0.667937	0.793855	0.601410	0.656458	0.651031	0.667504	
