Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.514572	0.568680	0.557098	0.546784	0.557098	0.546784	
10.000000	0.682882	0.675012	0.754605	0.704166	0.682882	0.704166	
20.000000	0.720852	0.745453	0.775088	0.747131	0.745453	0.747131	
30.000000	0.731887	0.741746	0.789626	0.754419	0.741746	0.754419	
40.000000	0.736958	0.777851	0.816647	0.777152	0.777851	0.777152	
50.000000	0.754069	0.807831	0.836117	0.799339	0.807831	0.799339	
60.000000	0.761371	0.806953	0.838982	0.802436	0.806953	0.802436	
70.000000	0.757815	0.820824	0.842130	0.806923	0.820824	0.806923	
80.000000	0.756164	0.831923	0.834647	0.807578	0.831923	0.807578	
90.000000	0.761703	0.822976	0.827455	0.804045	0.822976	0.807578	
100.000000	0.763997	0.829815	0.822907	0.805573	0.822907	0.807578	
110.000000	0.758507	0.816655	0.822985	0.799382	0.816655	0.807578	
120.000000	0.770007	0.831432	0.817735	0.806392	0.817735	0.807578	
130.000000	0.776794	0.828353	0.802097	0.802415	0.802097	0.807578	
140.000000	0.776252	0.837604	0.805279	0.806378	0.805279	0.807578	
150.000000	0.764127	0.830251	0.789011	0.794463	0.789011	0.807578	
160.000000	0.745919	0.829140	0.817142	0.797400	0.817142	0.807578	
170.000000	0.748231	0.824916	0.829319	0.800822	0.824916	0.807578	
180.000000	0.763110	0.839158	0.830085	0.810784	0.830085	0.810784	
190.000000	0.750591	0.821690	0.828288	0.800190	0.821690	0.810784	
200.000000	0.694127	0.819586	0.819278	0.777663	0.819278	0.810784	
210.000000	0.764228	0.839790	0.827864	0.810627	0.827864	0.810784	
220.000000	0.775558	0.844350	0.827764	0.815891	0.827764	0.815891	
230.000000	0.762321	0.838855	0.828638	0.809938	0.828638	0.815891	
240.000000	0.773049	0.841416	0.820256	0.811574	0.820256	0.815891	
250.000000	0.764557	0.825640	0.824154	0.804784	0.824154	0.815891	
260.000000	0.753863	0.821735	0.832057	0.802552	0.821735	0.815891	
270.000000	0.756796	0.778027	0.822211	0.785678	0.778027	0.815891	
280.000000	0.767257	0.824766	0.819511	0.803845	0.819511	0.815891	
290.000000	0.767884	0.854434	0.812440	0.811586	0.812440	0.815891	
300.000000	0.764319	0.851682	0.816578	0.810860	0.816578	0.815891	
310.000000	0.773585	0.846952	0.820540	0.813692	0.820540	0.815891	
320.000000	0.753305	0.825367	0.808175	0.795616	0.808175	0.815891	
330.000000	0.755248	0.844022	0.817616	0.805629	0.817616	0.815891	
340.000000	0.755418	0.836836	0.815430	0.802561	0.815430	0.815891	
350.000000	0.749585	0.832169	0.806013	0.795922	0.806013	0.815891	
360.000000	0.766328	0.839973	0.821403	0.809235	0.821403	0.815891	
370.000000	0.753935	0.847925	0.820925	0.807595	0.820925	0.815891	
380.000000	0.747136	0.825561	0.816709	0.796469	0.816709	0.815891	
390.000000	0.741372	0.846300	0.828716	0.805463	0.828716	0.815891	
400.000000	0.764235	0.841068	0.821488	0.808931	0.821488	0.815891	
410.000000	0.752654	0.829216	0.795860	0.792577	0.795860	0.815891	
420.000000	0.755978	0.844386	0.806437	0.802267	0.806437	0.815891	
430.000000	0.775950	0.829815	0.795634	0.800466	0.795634	0.815891	
440.000000	0.766336	0.840840	0.804913	0.804029	0.804913	0.815891	
450.000000	0.779563	0.838175	0.820029	0.812589	0.820029	0.815891	
460.000000	0.770138	0.825094	0.826916	0.807383	0.825094	0.815891	
470.000000	0.770041	0.835538	0.819178	0.808252	0.819178	0.815891	
480.000000	0.788152	0.843362	0.815242	0.815585	0.815242	0.815891	
490.000000	0.780895	0.847099	0.826650	0.818215	0.826650	0.818215	
500.000000	0.778040	0.835412	0.824170	0.812541	0.824170	0.818215	
510.000000	0.768792	0.834248	0.832918	0.811986	0.832918	0.818215	
520.000000	0.763429	0.837333	0.827649	0.809470	0.827649	0.818215	
530.000000	0.773285	0.832343	0.813802	0.806477	0.813802	0.818215	
540.000000	0.774306	0.841993	0.822781	0.813027	0.822781	0.818215	
550.000000	0.780387	0.842408	0.820426	0.814407	0.820426	0.818215	
560.000000	0.781102	0.858773	0.822732	0.820869	0.822732	0.820869	
570.000000	0.770786	0.841661	0.829338	0.813928	0.829338	0.820869	
580.000000	0.763276	0.852077	0.822944	0.812766	0.822944	0.820869	
590.000000	0.791157	0.859716	0.836116	0.828996	0.836116	0.828996	
600.000000	0.784647	0.858593	0.840796	0.828012	0.840796	0.828996	
610.000000	0.785397	0.853552	0.828954	0.822634	0.828954	0.828996	
620.000000	0.785982	0.848042	0.827051	0.820358	0.827051	0.828996	
630.000000	0.786859	0.830766	0.818467	0.812031	0.818467	0.828996	
640.000000	0.769869	0.845121	0.821949	0.812313	0.821949	0.828996	
650.000000	0.748553	0.811873	0.811746	0.790724	0.811746	0.828996	
660.000000	0.777429	0.826359	0.824988	0.809592	0.824988	0.828996	
670.000000	0.777180	0.840969	0.829456	0.815869	0.829456	0.828996	
680.000000	0.791001	0.851525	0.829615	0.824047	0.829615	0.828996	
690.000000	0.793223	0.847605	0.823737	0.821522	0.823737	0.828996	
700.000000	0.797596	0.864981	0.812882	0.825153	0.812882	0.828996	
710.000000	0.765158	0.854109	0.815598	0.811622	0.815598	0.828996	
720.000000	0.753014	0.850618	0.819187	0.807607	0.819187	0.828996	
730.000000	0.783493	0.850934	0.818828	0.817752	0.818828	0.828996	
740.000000	0.764104	0.833727	0.827102	0.808311	0.827102	0.828996	
750.000000	0.765711	0.814216	0.824343	0.801423	0.814216	0.828996	
760.000000	0.769994	0.827160	0.808005	0.801720	0.808005	0.828996	
770.000000	0.747707	0.819298	0.834055	0.800353	0.819298	0.828996	
780.000000	0.780271	0.858454	0.832045	0.823590	0.832045	0.828996	
790.000000	0.787173	0.833866	0.818981	0.813340	0.818981	0.828996	
800.000000	0.777525	0.842975	0.811563	0.810687	0.811563	0.828996	
810.000000	0.758228	0.853664	0.825245	0.812379	0.825245	0.828996	
820.000000	0.783247	0.848632	0.836362	0.822747	0.836362	0.828996	
830.000000	0.768449	0.841649	0.840268	0.816789	0.840268	0.828996	
840.000000	0.749380	0.811158	0.830565	0.797034	0.811158	0.828996	
850.000000	0.763075	0.804978	0.839724	0.802592	0.804978	0.828996	
860.000000	0.752295	0.821908	0.837381	0.803862	0.821908	0.828996	
870.000000	0.757857	0.829371	0.837010	0.808079	0.829371	0.828996	
880.000000	0.755891	0.825928	0.835166	0.805662	0.825928	0.828996	
890.000000	0.770110	0.856283	0.838224	0.821539	0.838224	0.828996	
900.000000	0.771012	0.839584	0.817919	0.809505	0.817919	0.828996	
910.000000	0.764035	0.855452	0.816543	0.812010	0.816543	0.828996	
920.000000	0.773079	0.863429	0.816472	0.817660	0.816472	0.828996	
930.000000	0.753123	0.829595	0.820162	0.800960	0.820162	0.828996	
940.000000	0.739593	0.822042	0.822892	0.794843	0.822042	0.828996	
950.000000	0.743636	0.810752	0.828277	0.794222	0.810752	0.828996	
960.000000	0.774191	0.833763	0.829210	0.812388	0.829210	0.828996	
970.000000	0.783269	0.860525	0.832572	0.825456	0.832572	0.828996	
980.000000	0.782477	0.830197	0.831614	0.814763	0.830197	0.828996	
990.000000	0.762115	0.839688	0.825439	0.809081	0.825439	0.828996	
1000.000000	0.751788	0.832194	0.822036	0.802006	0.822036	0.828996	
1010.000000	0.750628	0.827092	0.829234	0.802318	0.827092	0.828996	
1020.000000	0.764170	0.838809	0.825997	0.809659	0.825997	0.828996	
1030.000000	0.745309	0.835990	0.837705	0.806335	0.835990	0.828996	
1040.000000	0.750243	0.847033	0.830423	0.809233	0.830423	0.828996	
1050.000000	0.755979	0.824207	0.815869	0.798685	0.815869	0.828996	
1060.000000	0.750443	0.815662	0.813674	0.793260	0.813674	0.828996	
1070.000000	0.748689	0.825163	0.810142	0.794664	0.810142	0.828996	
1080.000000	0.743198	0.838675	0.822385	0.801420	0.822385	0.828996	
1090.000000	0.768105	0.821171	0.828453	0.805909	0.821171	0.828996	
1100.000000	0.752823	0.862466	0.824771	0.813353	0.824771	0.828996	
1110.000000	0.762378	0.848538	0.834793	0.815236	0.834793	0.828996	
1120.000000	0.761919	0.843392	0.828987	0.811433	0.828987	0.828996	
1130.000000	0.764905	0.816287	0.811315	0.797502	0.811315	0.828996	
1140.000000	0.760270	0.852824	0.829400	0.814165	0.829400	0.828996	
1150.000000	0.769184	0.836787	0.830604	0.812192	0.830604	0.828996	
1160.000000	0.759484	0.812656	0.833551	0.801897	0.812656	0.828996	
1170.000000	0.764258	0.847188	0.828331	0.813259	0.828331	0.828996	
1180.000000	0.773935	0.852814	0.829846	0.818865	0.829846	0.828996	
1190.000000	0.777180	0.854126	0.825255	0.818853	0.825255	0.828996	
1200.000000	0.786311	0.863404	0.830145	0.826620	0.830145	0.828996	
1210.000000	0.783505	0.843315	0.839420	0.822080	0.839420	0.828996	
1220.000000	0.777933	0.850098	0.826931	0.818321	0.826931	0.828996	
1230.000000	0.755461	0.826553	0.822889	0.801634	0.822889	0.828996	
1240.000000	0.743418	0.802658	0.811926	0.786000	0.802658	0.828996	
1250.000000	0.767666	0.753515	0.825750	0.782310	0.767666	0.828996	
1260.000000	0.783498	0.846331	0.836493	0.822107	0.836493	0.828996	
1270.000000	0.774496	0.843805	0.831334	0.816545	0.831334	0.828996	
1280.000000	0.777144	0.831416	0.831382	0.813314	0.831382	0.828996	
1290.000000	0.789936	0.839846	0.833868	0.821217	0.833868	0.828996	
1300.000000	0.773368	0.838570	0.829134	0.813691	0.829134	0.828996	
1310.000000	0.774786	0.842644	0.834586	0.817339	0.834586	0.828996	
1320.000000	0.771812	0.853236	0.822878	0.815975	0.822878	0.828996	
1330.000000	0.783807	0.848231	0.835153	0.822397	0.835153	0.828996	
1340.000000	0.766176	0.865218	0.825391	0.818928	0.825391	0.828996	
1350.000000	0.645236	0.863958	0.824191	0.777795	0.824191	0.828996	
1360.000000	0.795704	0.845751	0.834994	0.825483	0.834994	0.828996	
1370.000000	0.780725	0.842748	0.826835	0.816769	0.826835	0.828996	
1380.000000	0.776268	0.860032	0.836962	0.824420	0.836962	0.828996	
1390.000000	0.783230	0.858891	0.830136	0.824086	0.830136	0.828996	
1400.000000	0.779797	0.858504	0.833231	0.823844	0.833231	0.828996	
1410.000000	0.769811	0.853682	0.834696	0.819396	0.834696	0.828996	
1420.000000	0.766604	0.849310	0.829941	0.815285	0.829941	0.828996	
1430.000000	0.776951	0.861112	0.833022	0.823695	0.833022	0.828996	
1440.000000	0.783486	0.846940	0.834002	0.821476	0.834002	0.828996	
1450.000000	0.776181	0.841357	0.829487	0.815675	0.829487	0.828996	
1460.000000	0.759139	0.833931	0.820311	0.804460	0.820311	0.828996	
1470.000000	0.738351	0.836608	0.826921	0.800626	0.826921	0.828996	
1480.000000	0.771131	0.853219	0.830321	0.818224	0.830321	0.828996	
1490.000000	0.781496	0.819072	0.831205	0.810591	0.819072	0.828996	
1500.000000	0.768291	0.833723	0.823685	0.808566	0.823685	0.828996	
1510.000000	0.767435	0.842902	0.829614	0.813317	0.829614	0.828996	
1520.000000	0.766265	0.771234	0.823216	0.786905	0.771234	0.828996	
1530.000000	0.774864	0.815035	0.825823	0.805241	0.815035	0.828996	
