Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.565438	0.742964	0.689058	0.665820	0.689058	0.665820	
10.000000	0.549024	0.743857	0.717858	0.670246	0.717858	0.670246	
20.000000	0.538444	0.696952	0.368127	0.534507	0.538444	0.670246	
30.000000	0.558179	0.645962	0.657974	0.620705	0.645962	0.670246	
40.000000	0.510319	0.732256	0.387468	0.543348	0.510319	0.670246	
50.000000	0.576140	0.695586	0.492319	0.588015	0.576140	0.670246	
60.000000	0.478095	0.719178	0.700824	0.632699	0.700824	0.670246	
70.000000	0.563753	0.692182	0.647105	0.634347	0.647105	0.670246	
80.000000	0.544531	0.602548	0.644332	0.597137	0.602548	0.670246	
90.000000	0.571103	0.722428	0.657251	0.650261	0.657251	0.670246	
100.000000	0.520309	0.698260	0.592099	0.603556	0.592099	0.670246	
110.000000	0.590828	0.707655	0.492696	0.597060	0.590828	0.670246	
120.000000	0.595467	0.622276	0.559390	0.592377	0.595467	0.670246	
130.000000	0.490082	0.659912	0.551144	0.567046	0.551144	0.670246	
140.000000	0.562436	0.656410	0.502364	0.573736	0.562436	0.670246	
150.000000	0.458914	0.613687	0.600321	0.557641	0.600321	0.670246	
160.000000	0.551740	0.678473	0.607038	0.612417	0.607038	0.670246	
170.000000	0.495047	0.547330	0.476296	0.506224	0.495047	0.670246	
180.000000	0.571672	0.659248	0.695622	0.642181	0.659248	0.670246	
190.000000	0.590692	0.703395	0.574885	0.622990	0.590692	0.670246	
200.000000	0.496277	0.595592	0.686385	0.592751	0.595592	0.670246	
210.000000	0.588997	0.691554	0.593698	0.624750	0.593698	0.670246	
220.000000	0.571703	0.623459	0.473754	0.556305	0.571703	0.670246	
230.000000	0.611716	0.645281	0.609693	0.622230	0.611716	0.670246	
240.000000	0.497388	0.703811	0.700644	0.633948	0.700644	0.670246	
250.000000	0.591551	0.669284	0.601376	0.620737	0.601376	0.670246	
260.000000	0.592505	0.694931	0.587724	0.625053	0.592505	0.670246	
270.000000	0.590865	0.698243	0.679503	0.656204	0.679503	0.670246	
280.000000	0.584364	0.693708	0.638807	0.638959	0.638807	0.670246	
290.000000	0.598403	0.643203	0.602843	0.614817	0.602843	0.670246	
300.000000	0.574894	0.686941	0.602264	0.621367	0.602264	0.670246	
310.000000	0.591318	0.717078	0.705680	0.671359	0.705680	0.671359	
320.000000	0.601292	0.707980	0.634040	0.647771	0.634040	0.671359	
330.000000	0.604572	0.660137	0.585793	0.616834	0.604572	0.671359	
340.000000	0.601598	0.713122	0.569901	0.628207	0.601598	0.671359	
350.000000	0.567625	0.624581	0.589443	0.593883	0.589443	0.671359	
360.000000	0.586248	0.700816	0.600613	0.629226	0.600613	0.671359	
370.000000	0.596118	0.707640	0.614077	0.639278	0.614077	0.671359	
380.000000	0.568031	0.701862	0.634195	0.634696	0.634195	0.671359	
390.000000	0.585459	0.664613	0.616499	0.622190	0.616499	0.671359	
400.000000	0.575390	0.683519	0.633430	0.630780	0.633430	0.671359	
410.000000	0.580944	0.664654	0.660279	0.635292	0.660279	0.671359	
420.000000	0.578221	0.674517	0.581100	0.611280	0.581100	0.671359	
430.000000	0.513117	0.611704	0.607899	0.577573	0.607899	0.671359	
440.000000	0.569277	0.685223	0.555974	0.603491	0.569277	0.671359	
450.000000	0.577632	0.709913	0.679204	0.655583	0.679204	0.671359	
460.000000	0.589521	0.692649	0.604998	0.629056	0.604998	0.671359	
470.000000	0.585003	0.706201	0.633203	0.641469	0.633203	0.671359	
480.000000	0.578938	0.682820	0.615957	0.625905	0.615957	0.671359	
490.000000	0.575585	0.673584	0.601528	0.616899	0.601528	0.671359	
500.000000	0.593847	0.677338	0.609250	0.626811	0.609250	0.671359	
510.000000	0.583280	0.675453	0.617798	0.625510	0.617798	0.671359	
520.000000	0.568420	0.688403	0.626027	0.627617	0.626027	0.671359	
530.000000	0.578613	0.678729	0.578548	0.611963	0.578613	0.671359	
540.000000	0.567605	0.706017	0.686137	0.653253	0.686137	0.671359	
550.000000	0.587736	0.712931	0.581293	0.627320	0.587736	0.671359	
560.000000	0.586096	0.701044	0.694522	0.660554	0.694522	0.671359	
570.000000	0.586379	0.665659	0.657838	0.636626	0.657838	0.671359	
580.000000	0.586128	0.679648	0.605405	0.623727	0.605405	0.671359	
590.000000	0.585656	0.694357	0.683826	0.654613	0.683826	0.671359	
600.000000	0.581901	0.694690	0.614065	0.630219	0.614065	0.671359	
610.000000	0.585980	0.687267	0.594239	0.622496	0.594239	0.671359	
