Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.511193	0.678742	0.673772	0.621236	0.673772	0.621236	
10.000000	0.570694	0.693781	0.649383	0.637953	0.649383	0.637953	
20.000000	0.542568	0.666248	0.460070	0.556295	0.542568	0.637953	
30.000000	0.467679	0.538901	0.417051	0.474544	0.467679	0.637953	
40.000000	0.569057	0.697899	0.628546	0.631834	0.628546	0.637953	
50.000000	0.539872	0.659897	0.690139	0.629969	0.659897	0.637953	
60.000000	0.440088	0.665913	0.629924	0.578642	0.629924	0.637953	
70.000000	0.544505	0.668209	0.679362	0.630692	0.668209	0.637953	
80.000000	0.522444	0.644325	0.661964	0.609578	0.644325	0.637953	
90.000000	0.552737	0.646620	0.664623	0.621327	0.646620	0.637953	
100.000000	0.458428	0.524301	0.643980	0.542237	0.524301	0.637953	
110.000000	0.479571	0.673923	0.661929	0.605141	0.661929	0.637953	
120.000000	0.548627	0.632659	0.659543	0.613610	0.632659	0.637953	
130.000000	0.566682	0.671888	0.646352	0.628308	0.646352	0.637953	
140.000000	0.571445	0.592920	0.665448	0.609937	0.592920	0.637953	
150.000000	0.564938	0.653860	0.688310	0.635703	0.653860	0.637953	
160.000000	0.538517	0.604154	0.604339	0.582337	0.604154	0.637953	
170.000000	0.559508	0.678109	0.589199	0.608939	0.589199	0.637953	
180.000000	0.551994	0.664943	0.572036	0.596325	0.572036	0.637953	
190.000000	0.573603	0.666599	0.589005	0.609736	0.589005	0.637953	
200.000000	0.565537	0.408984	0.581664	0.518729	0.565537	0.637953	
210.000000	0.553480	0.670296	0.662602	0.628793	0.662602	0.637953	
220.000000	0.545540	0.544222	0.651232	0.580332	0.545540	0.637953	
230.000000	0.570957	0.668739	0.572466	0.604054	0.572466	0.637953	
240.000000	0.575128	0.679164	0.554080	0.602791	0.575128	0.637953	
250.000000	0.562640	0.699823	0.646703	0.636389	0.646703	0.637953	
260.000000	0.566388	0.697870	0.672790	0.645683	0.672790	0.645683	
270.000000	0.572588	0.691614	0.685780	0.649994	0.685780	0.649994	
280.000000	0.576531	0.665079	0.647593	0.629735	0.647593	0.649994	
290.000000	0.580682	0.682438	0.692390	0.651837	0.682438	0.651837	
300.000000	0.560386	0.696004	0.688305	0.648232	0.688305	0.651837	
310.000000	0.561150	0.735496	0.642325	0.646324	0.642325	0.651837	
320.000000	0.577196	0.665877	0.703572	0.648882	0.665877	0.651837	
330.000000	0.558543	0.666871	0.665053	0.630156	0.665053	0.651837	
340.000000	0.557472	0.463204	0.377630	0.466102	0.463204	0.651837	
350.000000	0.557855	0.679318	0.631020	0.622731	0.631020	0.651837	
360.000000	0.573332	0.730289	0.688302	0.663974	0.688302	0.663974	
370.000000	0.574680	0.724050	0.695205	0.664645	0.695205	0.664645	
380.000000	0.567811	0.702937	0.691959	0.654236	0.691959	0.664645	
390.000000	0.565845	0.697789	0.694905	0.652846	0.694905	0.664645	
400.000000	0.577098	0.698468	0.700753	0.658773	0.698468	0.664645	
410.000000	0.574646	0.712963	0.697764	0.661791	0.697764	0.664645	
420.000000	0.575009	0.706568	0.677917	0.653165	0.677917	0.664645	
430.000000	0.589099	0.708137	0.700966	0.666067	0.700966	0.666067	
440.000000	0.581081	0.711860	0.682265	0.658402	0.682265	0.666067	
450.000000	0.559718	0.698619	0.693617	0.650651	0.693617	0.666067	
460.000000	0.530239	0.676554	0.687928	0.631573	0.676554	0.666067	
470.000000	0.560322	0.669699	0.699831	0.643284	0.669699	0.666067	
480.000000	0.582120	0.710285	0.656030	0.649478	0.656030	0.666067	
490.000000	0.560794	0.670150	0.656972	0.629305	0.656972	0.666067	
500.000000	0.551361	0.677184	0.685719	0.638088	0.677184	0.666067	
510.000000	0.458415	0.713707	0.362980	0.511701	0.458415	0.666067	
520.000000	0.545135	0.562318	0.701891	0.603115	0.562318	0.666067	
530.000000	0.558380	0.710435	0.706887	0.658567	0.706887	0.666067	
540.000000	0.576153	0.540056	0.701576	0.605928	0.576153	0.666067	
550.000000	0.557235	0.703067	0.658077	0.639460	0.658077	0.666067	
560.000000	0.570418	0.713710	0.679919	0.654682	0.679919	0.666067	
570.000000	0.537922	0.703755	0.683132	0.641603	0.683132	0.666067	
580.000000	0.568991	0.701206	0.702510	0.657569	0.701206	0.666067	
590.000000	0.571124	0.682213	0.685549	0.646296	0.682213	0.666067	
600.000000	0.580066	0.693626	0.684393	0.652695	0.684393	0.666067	
610.000000	0.525881	0.679309	0.669691	0.624960	0.669691	0.666067	
620.000000	0.565234	0.679356	0.694734	0.646441	0.679356	0.666067	
630.000000	0.559982	0.711036	0.688722	0.653247	0.688722	0.666067	
640.000000	0.570991	0.702026	0.661791	0.644936	0.661791	0.666067	
650.000000	0.567548	0.669126	0.692110	0.642928	0.669126	0.666067	
660.000000	0.567738	0.704333	0.694478	0.655516	0.694478	0.666067	
670.000000	0.590231	0.710966	0.684092	0.661763	0.684092	0.666067	
680.000000	0.588008	0.715865	0.585307	0.629727	0.588008	0.666067	
690.000000	0.577880	0.711549	0.700132	0.663187	0.700132	0.666067	
700.000000	0.584432	0.709474	0.715220	0.669709	0.709474	0.669709	
710.000000	0.592806	0.708435	0.690091	0.663778	0.690091	0.669709	
720.000000	0.537934	0.729310	0.699509	0.655584	0.699509	0.669709	
730.000000	0.550086	0.710585	0.684933	0.648535	0.684933	0.669709	
740.000000	0.597510	0.713301	0.688402	0.666404	0.688402	0.669709	
750.000000	0.593476	0.730659	0.707979	0.677372	0.707979	0.677372	
760.000000	0.574198	0.724614	0.696973	0.665262	0.696973	0.677372	
770.000000	0.587805	0.736978	0.697349	0.674044	0.697349	0.677372	
780.000000	0.588903	0.744936	0.691945	0.675262	0.691945	0.677372	
790.000000	0.586441	0.674743	0.687379	0.649521	0.674743	0.677372	
800.000000	0.587706	0.742407	0.695535	0.675216	0.695535	0.677372	
810.000000	0.565912	0.726710	0.705271	0.665964	0.705271	0.677372	
820.000000	0.567740	0.722161	0.692789	0.660897	0.692789	0.677372	
830.000000	0.596090	0.728518	0.691596	0.672068	0.691596	0.677372	
840.000000	0.589724	0.728945	0.705445	0.674705	0.705445	0.677372	
850.000000	0.582124	0.594377	0.650297	0.608933	0.594377	0.677372	
860.000000	0.594470	0.719559	0.674255	0.662762	0.674255	0.677372	
870.000000	0.586697	0.706413	0.700313	0.664474	0.700313	0.677372	
880.000000	0.592217	0.689897	0.709106	0.663740	0.689897	0.677372	
890.000000	0.580820	0.703064	0.716189	0.666691	0.703064	0.677372	
900.000000	0.591743	0.695498	0.713472	0.666904	0.695498	0.677372	
910.000000	0.606556	0.732894	0.691815	0.677089	0.691815	0.677372	
920.000000	0.592528	0.717797	0.703288	0.671204	0.703288	0.677372	
930.000000	0.606945	0.716638	0.691412	0.671665	0.691412	0.677372	
940.000000	0.601645	0.709322	0.691636	0.667534	0.691636	0.677372	
950.000000	0.604709	0.728434	0.709619	0.680921	0.709619	0.680921	
960.000000	0.605621	0.734083	0.699027	0.679577	0.699027	0.680921	
970.000000	0.595996	0.689305	0.715932	0.667078	0.689305	0.680921	
980.000000	0.586927	0.702861	0.706952	0.665580	0.702861	0.680921	
990.000000	0.604947	0.725985	0.707447	0.679460	0.707447	0.680921	
1000.000000	0.596421	0.742225	0.711411	0.683352	0.711411	0.683352	
1010.000000	0.607451	0.746226	0.708666	0.687448	0.708666	0.687448	
1020.000000	0.606967	0.739984	0.694853	0.680601	0.694853	0.687448	
1030.000000	0.608689	0.731143	0.707771	0.682534	0.707771	0.687448	
1040.000000	0.608106	0.739923	0.705998	0.684676	0.705998	0.687448	
1050.000000	0.605979	0.733508	0.710435	0.683308	0.710435	0.687448	
1060.000000	0.609298	0.734872	0.711698	0.685289	0.711698	0.687448	
1070.000000	0.606574	0.734108	0.700803	0.680495	0.700803	0.687448	
1080.000000	0.606053	0.733260	0.705916	0.681743	0.705916	0.687448	
1090.000000	0.613362	0.707471	0.671410	0.664081	0.671410	0.687448	
1100.000000	0.616206	0.702521	0.690953	0.669894	0.690953	0.687448	
1110.000000	0.596702	0.713251	0.710373	0.673442	0.710373	0.687448	
1120.000000	0.603008	0.712610	0.720024	0.678547	0.712610	0.687448	
1130.000000	0.609968	0.736897	0.719053	0.688639	0.719053	0.688639	
1140.000000	0.604320	0.729506	0.729430	0.687752	0.729430	0.688639	
1150.000000	0.590897	0.712697	0.726502	0.676699	0.712697	0.688639	
