Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.574057	0.425994	0.587625	0.556740	0.632569	0.512500	0.548247	0.565399	0.548247	
10.000000	0.557644	0.579095	0.557144	0.560443	0.608199	0.525785	0.564719	0.559044	0.564719	
20.000000	0.547005	0.492053	0.564914	0.522530	0.457878	0.495370	0.513292	0.508950	0.564719	
30.000000	0.558186	0.498661	0.483194	0.560841	0.442601	0.482119	0.504267	0.490927	0.564719	
40.000000	0.450229	0.476910	0.544374	0.558547	0.466666	0.487231	0.497326	0.482070	0.564719	
50.000000	0.441415	0.440275	0.469040	0.474680	0.588937	0.549771	0.494020	0.471860	0.564719	
60.000000	0.541487	0.509385	0.526193	0.533881	0.585484	0.535084	0.538586	0.534482	0.564719	
70.000000	0.572839	0.466087	0.558447	0.523488	0.652957	0.535337	0.551526	0.546892	0.564719	
80.000000	0.486371	0.559669	0.534865	0.431299	0.431740	0.483494	0.487906	0.484933	0.564719	
90.000000	0.531932	0.546106	0.550174	0.567829	0.518186	0.482046	0.532712	0.539019	0.564719	
100.000000	0.491939	0.400765	0.468666	0.468451	0.606262	0.447467	0.480591	0.468558	0.564719	
110.000000	0.553518	0.581141	0.578316	0.464490	0.484368	0.470218	0.522009	0.518943	0.564719	
120.000000	0.544961	0.498041	0.566029	0.470833	0.440918	0.534050	0.509139	0.516046	0.564719	
130.000000	0.556018	0.544699	0.536108	0.511614	0.673062	0.517172	0.556445	0.540403	0.564719	
140.000000	0.511409	0.508071	0.520553	0.468633	0.574846	0.524140	0.517942	0.515981	0.564719	
150.000000	0.509698	0.537248	0.519483	0.534651	0.635576	0.514522	0.541863	0.527067	0.564719	
160.000000	0.539629	0.455630	0.503876	0.587794	0.544569	0.552601	0.530683	0.542099	0.564719	
170.000000	0.531966	0.469688	0.531733	0.503046	0.537731	0.480862	0.509171	0.517390	0.564719	
180.000000	0.575988	0.575699	0.496027	0.462036	0.612508	0.539345	0.543601	0.557522	0.564719	
190.000000	0.494862	0.589962	0.561557	0.540684	0.630110	0.508632	0.554301	0.551121	0.564719	
200.000000	0.475980	0.525024	0.552403	0.502817	0.575475	0.526914	0.526436	0.525969	0.564719	
210.000000	0.508162	0.507420	0.514546	0.573802	0.563485	0.525968	0.532230	0.520257	0.564719	
220.000000	0.521272	0.556855	0.521025	0.522715	0.679856	0.537469	0.556532	0.530092	0.564719	
230.000000	0.527436	0.561993	0.507072	0.542858	0.530862	0.498095	0.528053	0.529149	0.564719	
240.000000	0.469967	0.589051	0.489804	0.426704	0.603500	0.556228	0.522542	0.523016	0.564719	
250.000000	0.535220	0.569364	0.553679	0.558967	0.593863	0.530805	0.556983	0.556323	0.564719	
260.000000	0.544684	0.624650	0.483966	0.565706	0.637602	0.521682	0.563048	0.555195	0.564719	
270.000000	0.575059	0.634369	0.503051	0.504624	0.604217	0.516994	0.556386	0.546027	0.564719	
280.000000	0.537841	0.587637	0.545706	0.529572	0.626625	0.511660	0.556507	0.541773	0.564719	
290.000000	0.569072	0.576641	0.550146	0.566296	0.630846	0.540148	0.572191	0.567684	0.572191	
300.000000	0.576334	0.524751	0.497303	0.592215	0.702987	0.503223	0.566136	0.550543	0.572191	
310.000000	0.580281	0.562229	0.543794	0.585500	0.659348	0.551660	0.580469	0.571255	0.580469	
