Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.532982	0.500539	0.554180	0.482365	0.519589	0.529092	0.519791	0.524340	0.519791	
10.000000	0.554020	0.538860	0.588602	0.534402	0.484104	0.515351	0.535890	0.536631	0.535890	
20.000000	0.598333	0.459603	0.481856	0.497907	0.490929	0.519233	0.507977	0.494418	0.535890	
30.000000	0.486756	0.509050	0.559096	0.516951	0.563246	0.517119	0.525370	0.517035	0.535890	
40.000000	0.497730	0.437480	0.536472	0.489635	0.580338	0.553172	0.515804	0.517101	0.535890	
50.000000	0.618295	0.548065	0.572069	0.543157	0.674056	0.545866	0.583585	0.560067	0.583585	
60.000000	0.591044	0.564677	0.543453	0.518744	0.485009	0.455503	0.526405	0.531098	0.583585	
70.000000	0.451835	0.535574	0.471715	0.575715	0.626750	0.538534	0.533354	0.537054	0.583585	
80.000000	0.381671	0.560760	0.534671	0.489847	0.510191	0.525291	0.500405	0.517741	0.583585	
90.000000	0.522104	0.532754	0.511710	0.562770	0.576268	0.570108	0.545952	0.547762	0.583585	
100.000000	0.570823	0.545368	0.513985	0.466806	0.372812	0.497341	0.494523	0.505663	0.583585	
110.000000	0.541291	0.547643	0.461336	0.477053	0.565819	0.484817	0.512993	0.513054	0.583585	
120.000000	0.509130	0.550005	0.512786	0.548931	0.567341	0.540818	0.538169	0.544874	0.583585	
130.000000	0.487298	0.613932	0.490404	0.505727	0.474101	0.522589	0.515675	0.498066	0.583585	
140.000000	0.465740	0.507011	0.464326	0.485684	0.610005	0.498340	0.505184	0.492012	0.583585	
150.000000	0.521410	0.461097	0.538143	0.576686	0.507102	0.510728	0.519194	0.516069	0.583585	
160.000000	0.520956	0.488489	0.524004	0.454671	0.516312	0.511481	0.502652	0.513897	0.583585	
170.000000	0.487293	0.480363	0.501652	0.462638	0.673402	0.504773	0.518353	0.494473	0.583585	
180.000000	0.553428	0.556600	0.538798	0.478855	0.504051	0.506861	0.523099	0.522830	0.583585	
190.000000	0.568967	0.462008	0.535008	0.598035	0.621793	0.475946	0.543626	0.551988	0.583585	
200.000000	0.526054	0.615978	0.478846	0.520411	0.628424	0.483814	0.542254	0.523233	0.583585	
210.000000	0.494237	0.460830	0.518598	0.600639	0.599399	0.497346	0.528508	0.507972	0.583585	
220.000000	0.532658	0.503837	0.471295	0.454643	0.524628	0.477952	0.494169	0.490894	0.583585	
230.000000	0.475190	0.524634	0.555454	0.531954	0.612074	0.495950	0.532543	0.528294	0.583585	
240.000000	0.519142	0.525061	0.479995	0.561699	0.547752	0.533254	0.527817	0.529158	0.583585	
250.000000	0.561846	0.558237	0.553225	0.485466	0.552080	0.481008	0.531977	0.552653	0.583585	
260.000000	0.566250	0.602998	0.541354	0.487823	0.404036	0.461748	0.510702	0.514589	0.583585	
270.000000	0.503877	0.494000	0.486994	0.490390	0.658682	0.553386	0.531221	0.498938	0.583585	
280.000000	0.573790	0.570083	0.552775	0.584875	0.630066	0.543031	0.575770	0.571936	0.583585	
290.000000	0.582121	0.620559	0.471858	0.546342	0.381987	0.485485	0.514725	0.515914	0.583585	
300.000000	0.559441	0.599923	0.575236	0.516988	0.519426	0.509453	0.546744	0.539433	0.583585	
310.000000	0.547238	0.498841	0.575209	0.554112	0.667608	0.502110	0.557520	0.550675	0.583585	
320.000000	0.568766	0.489481	0.514270	0.471793	0.634947	0.546296	0.537592	0.530283	0.583585	
330.000000	0.479353	0.518336	0.565312	0.562676	0.649321	0.519881	0.549146	0.541278	0.583585	
340.000000	0.524200	0.550324	0.548448	0.520303	0.685977	0.526881	0.559355	0.537664	0.583585	
350.000000	0.535079	0.514976	0.514629	0.560998	0.496188	0.536254	0.526354	0.525028	0.583585	
360.000000	0.571979	0.560847	0.553152	0.581241	0.670684	0.514749	0.575442	0.566413	0.583585	
370.000000	0.540318	0.556216	0.559824	0.453167	0.653876	0.514795	0.546366	0.548267	0.583585	
380.000000	0.574166	0.498032	0.568948	0.530303	0.633790	0.521457	0.554449	0.549625	0.583585	
390.000000	0.500192	0.564405	0.527199	0.530626	0.583851	0.524576	0.538475	0.528913	0.583585	
400.000000	0.552474	0.546112	0.538787	0.564223	0.666589	0.542326	0.568418	0.549293	0.583585	
410.000000	0.555203	0.547262	0.558111	0.532904	0.671024	0.539244	0.567291	0.551233	0.583585	
420.000000	0.584748	0.523282	0.554242	0.563515	0.596008	0.534658	0.559409	0.558878	0.583585	
430.000000	0.606280	0.554871	0.545034	0.562383	0.686052	0.538469	0.582181	0.558627	0.583585	
440.000000	0.582025	0.560158	0.529016	0.596991	0.594939	0.468787	0.555319	0.571092	0.583585	
450.000000	0.576908	0.583385	0.566684	0.571408	0.612345	0.557178	0.577985	0.574158	0.583585	
