Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
610.000000	0.590532	0.606562	0.552300	0.588585	0.664010	0.561836	0.593971	0.589559	0.593971	
620.000000	0.607905	0.553383	0.588588	0.560477	0.681661	0.543256	0.589212	0.574532	0.593971	
630.000000	0.599140	0.540180	0.587823	0.589050	0.694513	0.571067	0.596962	0.588437	0.596962	
640.000000	0.562240	0.542895	0.587785	0.515105	0.706805	0.433732	0.558094	0.552568	0.596962	
650.000000	0.598304	0.542635	0.572875	0.570432	0.433954	0.564058	0.547043	0.567245	0.596962	
660.000000	0.615843	0.547600	0.558238	0.599117	0.585937	0.571036	0.579629	0.578486	0.596962	
670.000000	0.600772	0.627464	0.579796	0.564744	0.668847	0.572233	0.602309	0.590284	0.602309	
680.000000	0.567560	0.551654	0.530908	0.577001	0.650642	0.554242	0.572001	0.560901	0.602309	
690.000000	0.590123	0.564448	0.583266	0.597491	0.670728	0.563871	0.594988	0.586694	0.602309	
700.000000	0.606054	0.574874	0.578391	0.575500	0.702068	0.558851	0.599290	0.576946	0.602309	
710.000000	0.485344	0.583980	0.561981	0.556289	0.704629	0.570305	0.577088	0.566143	0.602309	
720.000000	0.631898	0.513563	0.577587	0.582444	0.498547	0.592152	0.566032	0.580015	0.602309	
730.000000	0.636570	0.574595	0.559400	0.571304	0.682511	0.550704	0.595847	0.572949	0.602309	
740.000000	0.595786	0.589987	0.439592	0.531261	0.698212	0.575408	0.571708	0.582697	0.602309	
750.000000	0.602604	0.546806	0.588296	0.602473	0.697451	0.564067	0.600283	0.595385	0.602309	
760.000000	0.601361	0.527454	0.573196	0.602599	0.680171	0.562466	0.591208	0.587279	0.602309	
770.000000	0.605926	0.567994	0.562231	0.584510	0.654712	0.553489	0.588143	0.576252	0.602309	
780.000000	0.583350	0.533256	0.591094	0.625693	0.673056	0.562088	0.594756	0.587222	0.602309	
790.000000	0.546492	0.537781	0.590376	0.597827	0.706371	0.554495	0.588890	0.572436	0.602309	
800.000000	0.606658	0.490956	0.586108	0.577930	0.684983	0.539901	0.581089	0.582019	0.602309	
810.000000	0.599138	0.476904	0.564004	0.595587	0.651190	0.578596	0.577570	0.587092	0.602309	
820.000000	0.613871	0.481627	0.561963	0.520516	0.656625	0.557736	0.565390	0.559850	0.602309	
830.000000	0.609069	0.536517	0.575784	0.575354	0.628008	0.554527	0.579876	0.575569	0.602309	
840.000000	0.590761	0.519644	0.566626	0.586626	0.680051	0.563005	0.584452	0.576626	0.602309	
850.000000	0.613895	0.506602	0.576253	0.594134	0.706302	0.579638	0.596137	0.586886	0.602309	
860.000000	0.610719	0.562638	0.572162	0.603838	0.707636	0.579406	0.606066	0.591622	0.606066	
870.000000	0.555493	0.521293	0.575710	0.587283	0.709284	0.569903	0.586494	0.572807	0.606066	
880.000000	0.624462	0.478038	0.584857	0.578560	0.701974	0.560635	0.588088	0.581708	0.606066	
890.000000	0.626539	0.564721	0.586089	0.604364	0.706623	0.573646	0.610330	0.595226	0.610330	
900.000000	0.567880	0.530488	0.600318	0.601222	0.711196	0.571478	0.597097	0.585898	0.610330	
910.000000	0.625842	0.537254	0.591322	0.587172	0.644842	0.559330	0.590960	0.589247	0.610330	
920.000000	0.534555	0.541376	0.565247	0.591868	0.712492	0.562802	0.584723	0.564024	0.610330	
930.000000	0.587091	0.528018	0.592359	0.601368	0.688977	0.570734	0.594758	0.589725	0.610330	
940.000000	0.606408	0.586990	0.578277	0.605312	0.725136	0.588544	0.615111	0.596928	0.615111	
950.000000	0.543015	0.601888	0.588913	0.600254	0.693582	0.533706	0.593560	0.594583	0.615111	
960.000000	0.615706	0.553442	0.570886	0.605996	0.707906	0.567230	0.603528	0.588441	0.615111	
970.000000	0.571091	0.525929	0.592428	0.605517	0.733364	0.589120	0.602908	0.590774	0.615111	
980.000000	0.600380	0.545139	0.527768	0.593788	0.692217	0.579480	0.589795	0.586634	0.615111	
990.000000	0.602121	0.565942	0.584157	0.605832	0.710227	0.548862	0.602857	0.593139	0.615111	
1000.000000	0.593940	0.560264	0.555614	0.603436	0.689003	0.579503	0.596960	0.586721	0.615111	
1010.000000	0.628130	0.528359	0.591407	0.577989	0.715914	0.577130	0.603155	0.584698	0.615111	
1020.000000	0.622938	0.544296	0.589713	0.605593	0.713826	0.574727	0.608515	0.597653	0.615111	
1030.000000	0.624600	0.575370	0.591174	0.610204	0.710536	0.580174	0.615343	0.600689	0.615343	
1040.000000	0.614305	0.571570	0.568762	0.592284	0.712750	0.576365	0.606006	0.584324	0.615343	
1050.000000	0.629231	0.555224	0.586634	0.608081	0.724992	0.586634	0.615133	0.597357	0.615343	
1060.000000	0.620993	0.570287	0.572504	0.600806	0.724501	0.582019	0.611852	0.591413	0.615343	
1070.000000	0.543314	0.580800	0.588528	0.613526	0.728187	0.571601	0.604326	0.584664	0.615343	
1080.000000	0.610635	0.581129	0.590852	0.567641	0.630990	0.575101	0.592725	0.585991	0.615343	
1090.000000	0.609736	0.575252	0.586694	0.591026	0.717078	0.521224	0.600168	0.588860	0.615343	
