Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.529856	0.558677	0.567614	0.568799	0.541952	0.519109	0.547668	0.550315	0.547668	
10.000000	0.483094	0.502882	0.440062	0.521804	0.484544	0.507928	0.490052	0.493713	0.547668	
20.000000	0.472094	0.476023	0.470060	0.488853	0.419599	0.522033	0.474777	0.474059	0.547668	
30.000000	0.497811	0.546317	0.508725	0.512574	0.509902	0.504656	0.513331	0.509313	0.547668	
40.000000	0.475640	0.473215	0.484067	0.570547	0.516249	0.510915	0.505106	0.497491	0.547668	
50.000000	0.520764	0.580565	0.555690	0.564491	0.453229	0.503251	0.529665	0.538227	0.547668	
60.000000	0.453953	0.515639	0.526685	0.514640	0.483732	0.513992	0.501440	0.514316	0.547668	
70.000000	0.515487	0.487987	0.536934	0.544846	0.641703	0.528748	0.542617	0.532841	0.547668	
80.000000	0.536277	0.566122	0.543613	0.525940	0.440981	0.475743	0.514779	0.531108	0.547668	
90.000000	0.585689	0.572469	0.565736	0.536777	0.576035	0.526819	0.560587	0.569102	0.560587	
100.000000	0.526342	0.560605	0.562597	0.533129	0.588145	0.520675	0.548582	0.546867	0.560587	
110.000000	0.575348	0.496324	0.564347	0.494948	0.481763	0.494731	0.517910	0.495636	0.560587	
120.000000	0.516159	0.456677	0.522917	0.502341	0.659531	0.515827	0.528909	0.515993	0.560587	
130.000000	0.565023	0.555478	0.563140	0.507009	0.371935	0.528673	0.515210	0.542076	0.560587	
140.000000	0.505620	0.483016	0.475468	0.520122	0.548488	0.527910	0.510104	0.512871	0.560587	
150.000000	0.571966	0.498528	0.554010	0.587457	0.444730	0.536598	0.532215	0.545304	0.560587	
160.000000	0.515711	0.514821	0.474449	0.400485	0.599009	0.515414	0.503315	0.515118	0.560587	
170.000000	0.490426	0.456559	0.506424	0.479882	0.585547	0.517388	0.506038	0.498425	0.560587	
180.000000	0.531761	0.450534	0.544733	0.552886	0.661362	0.576867	0.553024	0.548809	0.560587	
190.000000	0.554725	0.565198	0.537568	0.527774	0.583804	0.532041	0.550185	0.546147	0.560587	
200.000000	0.519213	0.589199	0.555836	0.581310	0.592831	0.519621	0.559668	0.568573	0.560587	
210.000000	0.496577	0.535426	0.549245	0.560538	0.645679	0.540996	0.554744	0.545121	0.560587	
220.000000	0.565428	0.545300	0.547743	0.484305	0.567832	0.520223	0.538472	0.546521	0.560587	
230.000000	0.522913	0.530095	0.469421	0.571135	0.586893	0.510212	0.531778	0.526504	0.560587	
240.000000	0.570197	0.573393	0.546548	0.602763	0.493087	0.538935	0.554154	0.558373	0.560587	
250.000000	0.562960	0.455499	0.527171	0.601893	0.645396	0.527335	0.553376	0.545147	0.560587	
260.000000	0.537888	0.593613	0.476809	0.592666	0.663554	0.539566	0.567349	0.566116	0.567349	
270.000000	0.578412	0.505089	0.526838	0.488380	0.662274	0.561797	0.553798	0.544318	0.567349	
280.000000	0.528194	0.501159	0.552987	0.572963	0.710926	0.515428	0.563609	0.540591	0.567349	
290.000000	0.556558	0.454340	0.570606	0.527441	0.440428	0.545653	0.515838	0.536547	0.567349	
300.000000	0.578566	0.581597	0.534168	0.601144	0.500730	0.530769	0.554496	0.556367	0.567349	
310.000000	0.598224	0.515813	0.472615	0.565091	0.680517	0.529343	0.560267	0.547217	0.567349	
320.000000	0.577151	0.473575	0.556423	0.598812	0.704484	0.515176	0.570937	0.566787	0.570937	
330.000000	0.559554	0.510060	0.530268	0.569749	0.641376	0.509873	0.553480	0.544911	0.570937	
340.000000	0.561095	0.498661	0.575611	0.605141	0.623945	0.447416	0.551978	0.568353	0.570937	
350.000000	0.489103	0.487336	0.484042	0.593376	0.645748	0.573858	0.545577	0.531480	0.570937	
360.000000	0.608087	0.552506	0.557065	0.589903	0.573535	0.557188	0.573047	0.565361	0.573047	
370.000000	0.493920	0.443474	0.517535	0.632055	0.605507	0.515858	0.534725	0.516696	0.573047	
380.000000	0.585004	0.538184	0.534923	0.589675	0.698476	0.562445	0.584784	0.573724	0.584784	
